classifier_name,dataset_name,accuracy
AL_withoutDA,1,86.12
AL_withoutDA,2,85.42
AL_withoutDA,3,85.7
AL_withoutDA,4,92
AL_withoutDA,5,86.53
AL_withoutDA,6,90.93
AL_withoutDA,7,92.57
AL_withoutDA,8,89.71
AL_withoutDA,9,81.03
AL_withoutDA,10,81.86
Brightness_ColorJitter_RandomAffine,1,76.31
Brightness_ColorJitter_RandomAffine,2,92.89
Brightness_ColorJitter_RandomAffine,3,89.98
Brightness_ColorJitter_RandomAffine,4,93.19
Brightness_ColorJitter_RandomAffine,5,90.88
Brightness_ColorJitter_RandomAffine,6,82.93
Brightness_ColorJitter_RandomAffine,7,64.41
Brightness_ColorJitter_RandomAffine,8,88.47
Brightness_ColorJitter_RandomAffine,9,77.89
Brightness_ColorJitter_RandomAffine,10,84.91
ColorJitter_RandomAffine_ElasticTransform,1,88.53
ColorJitter_RandomAffine_ElasticTransform,2,88.95
ColorJitter_RandomAffine_ElasticTransform,3,79.03
ColorJitter_RandomAffine_ElasticTransform,4,79.89
ColorJitter_RandomAffine_ElasticTransform,5,87.74
ColorJitter_RandomAffine_ElasticTransform,6,87.3
ColorJitter_RandomAffine_ElasticTransform,7,87.08
ColorJitter_RandomAffine_ElasticTransform,8,81.61
ColorJitter_RandomAffine_ElasticTransform,9,86.74
ColorJitter_RandomAffine_ElasticTransform,10,89.61
ColorJitter_Contrast_ElasticTransform,1,89.62
ColorJitter_Contrast_ElasticTransform,2,83.39
ColorJitter_Contrast_ElasticTransform,3,93.95
ColorJitter_Contrast_ElasticTransform,4,95.03
ColorJitter_Contrast_ElasticTransform,5,94.84
ColorJitter_Contrast_ElasticTransform,6,96.06
ColorJitter_Contrast_ElasticTransform,7,94.13
ColorJitter_Contrast_ElasticTransform,8,92.72
ColorJitter_Contrast_ElasticTransform,9,91.68
ColorJitter_Contrast_ElasticTransform,10,93.05
Solarize_Transform_Rotation,1,89.87
Solarize_Transform_Rotation,2,94.05
Solarize_Transform_Rotation,3,93.53
Solarize_Transform_Rotation,4,89.86
Solarize_Transform_Rotation,5,93.97
Solarize_Transform_Rotation,6,92.36
Solarize_Transform_Rotation,7,91.28
Solarize_Transform_Rotation,8,92.65
Solarize_Transform_Rotation,9,94.76
Solarize_Transform_Rotation,10,86.37
Invert_Posterize_Solarize,1,89.64
Invert_Posterize_Solarize,2,91.46
Invert_Posterize_Solarize,3,92.95
Invert_Posterize_Solarize,4,92.38
Invert_Posterize_Solarize,5,92.23
Invert_Posterize_Solarize,6,91.73
Invert_Posterize_Solarize,7,90.07
Invert_Posterize_Solarize,8,92.6
Invert_Posterize_Solarize,9,90.59
Invert_Posterize_Solarize,10,88.07
