Epoch,Train Loss Average,Train Accuracy Average,Test Accuracy Average
1,0.0925189343143254,0.9708,0.40549999999999997
2,0.0294117611099034,0.9906,0.311
3,0.02540481394752855,0.99245,0.19375
4,0.0182178701031021,0.9945999999999999,0.26849999999999996
5,0.0124644176333211,0.996,0.27949999999999997
6,0.0092074909616494,0.9975,0.36224999999999996
7,0.0065496572996373,0.99795,0.23925000000000002
8,0.01636892953136695,0.9957,0.22675
9,0.0187183022585566,0.9942,0.326
10,0.010739169656252451,0.99675,0.47175
