Run,Epoch,Train Loss,Train Accuracy,Test Accuracy
1,1,0.0936685832545161,0.9695,0.0515
1,2,0.0286215456876903,0.9922,0.487
1,3,0.0311891089197248,0.9911,0.3765
1,4,0.0124986807247623,0.9965,0.3385
1,5,0.0239413978494703,0.993,0.372
1,6,0.0131849143765866,0.9956,0.2635
1,7,0.0060014631694182,0.9984,0.345
1,8,0.006505022362573,0.9981,0.395
1,9,0.0106100137296831,0.9966,0.206
1,10,0.0157349598492961,0.9953,0.251
2,1,0.0950629955798387,0.9691,0.366
2,2,0.0249804232351481,0.9931,0.1535
2,3,0.0225588169410824,0.9929,0.274
2,4,0.0258402731360867,0.9919,0.3005
2,5,0.0107888727189507,0.996,0.194
2,6,0.0143286582798231,0.9957,0.299
2,7,0.0062308788510505,0.9981,0.2845
2,8,0.0098049310737289,0.9963,0.1505
2,9,0.0037564102595904,0.9988,0.3015
2,10,0.0156018133801175,0.9954,0.3505
