Epoch,Train Loss Average,Train Accuracy Average,Test Accuracy Average
1,0.1060199132494628,0.9652000000000001,0.20175
2,0.0351227656146511,0.9894000000000001,0.305
3,0.032319885042309704,0.99065,0.23675
4,0.02526416757712135,0.9922500000000001,0.35075
5,0.0224051127715967,0.99295,0.133
6,0.02186234829374585,0.9934499999999999,0.3405
7,0.0183920741228386,0.9946999999999999,0.23399999999999999
8,0.01036179072754455,0.9964500000000001,0.249
9,0.015573828285792752,0.99505,0.28475
10,0.01301702013456955,0.9958,0.4315
