Run,Epoch,Train Loss,Train Accuracy,Test Accuracy
1,1,0.0988279553189873,0.968,0.202
1,2,0.0377217741541564,0.989,0.49
1,3,0.0322810629419982,0.99,0.122
1,4,0.0230615284414961,0.9936,0.337
1,5,0.0222334284778684,0.9926,0.062
1,6,0.020573740306776,0.9942,0.361
1,7,0.0185821791460737,0.9951,0.1855
1,8,0.0080931851409841,0.9971,0.2475
1,9,0.0212739586044102,0.9936,0.1905
1,10,0.0194921584520488,0.9938,0.6455
2,1,0.1132118711799383,0.9624,0.2015
2,2,0.0325237570751458,0.9898,0.12
2,3,0.0323587071426212,0.9913,0.3515
2,4,0.0274668067127466,0.9909,0.3645
2,5,0.022576797065325,0.9933,0.204
2,6,0.0231509562807157,0.9927,0.32
2,7,0.0182019690996035,0.9943,0.2825
2,8,0.012630396314105,0.9958,0.2505
2,9,0.0098736979671753,0.9965,0.379
2,10,0.0065418818170903,0.9978,0.2175
