Epoch,Train Loss Average,Train Accuracy Average,Test Accuracy Average
1,0.0893227094970643,0.97115,0.4295
2,0.02574480074490415,0.99195,0.364
3,0.0174488502366468,0.9946999999999999,0.324
4,0.022041176643688203,0.9927,0.3825
5,0.01724716154010965,0.9948999999999999,0.35750000000000004
6,0.01611557715795925,0.99515,0.39275
7,0.0099543535086326,0.997,0.2485
8,0.00960050232028585,0.99705,0.42174999999999996
9,0.0052445023549924,0.9985999999999999,0.34924999999999995
10,0.0035741799678333003,0.999,0.44199999999999995
