Run,Epoch,Train Loss,Train Accuracy,Test Accuracy
1,1,0.0850266454651951,0.9726,0.379
1,2,0.0223914818864315,0.993,0.479
1,3,0.0139067442052066,0.9962,0.039
1,4,0.0187124305181205,0.9936,0.4635
1,5,0.0140571954993531,0.9954,0.339
1,6,0.0138294630882795,0.9962,0.3595
1,7,0.0094959441452287,0.9971,0.1205
1,8,0.0120623575086239,0.996,0.4875
1,9,0.006128520360816,0.9984,0.407
1,10,0.0024117643710051,0.9993,0.3465
2,1,0.0936187735289335,0.9697,0.48
2,2,0.0290981196033768,0.9909,0.249
2,3,0.020990956268087,0.9932,0.609
2,4,0.0253699227692559,0.9918,0.3015
2,5,0.0204371275808662,0.9944,0.376
2,6,0.018401691227639,0.9941,0.426
2,7,0.0104127628720365,0.9969,0.3765
2,8,0.0071386471319478,0.9981,0.356
2,9,0.0043604843491688,0.9988,0.2915
2,10,0.0047365955646615,0.9987,0.5375
