Run,Epoch,Train Loss,Train Accuracy,Test Accuracy
1,1,0.1130651313349604,0.9642,0.08
1,2,0.0350209625303745,0.9899,0.2235
1,3,0.0219853017266839,0.9929,0.25
1,4,0.0219396031676791,0.9932,0.2475
1,5,0.020425645487383,0.9934,0.1955
1,6,0.0253057418838143,0.9931,0.183
1,7,0.0111592873560264,0.9969,0.278
1,8,0.0076044648719951,0.9977,0.222
1,9,0.0153043623338453,0.9955,0.175
1,10,0.0214615173735655,0.9932,0.281
2,1,0.1195211326196789,0.9608,0.127
2,2,0.030435437259078,0.9915,0.4055
2,3,0.0251485382400453,0.9915,0.1335
2,4,0.0263539272459223,0.9929,0.3895
2,5,0.0135108527807518,0.9957,0.186
2,6,0.0142173750045709,0.995,0.487
2,7,0.0109892684214515,0.9957,0.5655
2,8,0.0078297218535328,0.9974,0.5835
2,9,0.0126425813238136,0.996,0.387
2,10,0.0130164159052073,0.9963,0.3365
