Epoch,Train Loss Average,Train Accuracy Average,Test Accuracy Average
1,0.11163010813891885,0.9655499999999999,0.3105
2,0.02888611984178415,0.99075,0.3365
3,0.02753403126345945,0.9917499999999999,0.34125
4,0.01868353776293805,0.9942500000000001,0.40625
5,0.0261247592857573,0.9918499999999999,0.38875000000000004
6,0.017475597846065602,0.9944999999999999,0.41000000000000003
7,0.0076849360636202495,0.99795,0.4375
8,0.0169137694297125,0.9949,0.5117499999999999
9,0.00825145276460675,0.9977,0.51025
10,0.0069915733629895,0.99815,0.314
