Run,Epoch,Train Loss,Train Accuracy,Test Accuracy
1,1,0.0971325359538197,0.9702,0.359
1,2,0.0220318780932575,0.9934,0.36
1,3,0.0184231361253187,0.994,0.299
1,4,0.0180507925547659,0.9946,0.308
1,5,0.0164738762853667,0.9948,0.133
1,6,0.018230697014369,0.9947,0.4965
1,7,0.0072371683643665,0.9981,0.3505
1,8,0.0073148462520679,0.9983,0.2855
1,9,0.0021904430714319,0.9994,0.4295
1,10,0.0101498644378501,0.9963,0.1085
2,1,0.0896664614900946,0.972,0.228
2,2,0.0290688450634479,0.9916,0.1875
2,3,0.0292032438680529,0.9917,0.137
2,4,0.0181059962080791,0.9939,0.4115
2,5,0.0209721391065046,0.9933,0.3345
2,6,0.0125262220165692,0.9962,0.2155
2,7,0.009280447195284,0.9973,0.284
2,8,0.0158180016397964,0.9956,0.365
2,9,0.0134497424613218,0.996,0.4455
2,10,0.0100945176518987,0.997,0.147
