Run,Epoch,Train Loss,Train Accuracy,Test Accuracy
1,1,0.0949680082440376,0.9696,0.01
1,2,0.0258255099393427,0.9919,0.101
1,3,0.0302985949240624,0.9915,0.123
1,4,0.0261893417142331,0.991,0.553
1,5,0.0109132556629367,0.9967,0.2725
1,6,0.0198795285553671,0.9951,0.6185
1,7,0.0047469021146651,0.9982,0.4985
1,8,0.0133645211451686,0.9961,0.4775
1,9,0.0063320515538798,0.9978,0.2315
1,10,0.0057097392957191,0.9981,0.1795
2,1,0.0974501110941171,0.9666,0.2945
2,2,0.0294292580798268,0.9908,0.0995
2,3,0.0206244067460298,0.9938,0.4185
2,4,0.014863442781195,0.9962,0.2345
2,5,0.0235093636885285,0.993,0.164
2,6,0.0201680966975167,0.9946,0.398
2,7,0.0174021801313851,0.9943,0.2955
2,8,0.0061232684696093,0.9977,0.274
2,9,0.0109506646509398,0.9967,0.3785
2,10,0.0057572267851326,0.9986,0.3465
