Epoch,Train Loss Average,Train Accuracy Average,Test Accuracy Average
1,0.0985670115344226,0.9677,0.305
2,0.0294770480472594,0.9903,0.40375
3,0.0232921798272989,0.9925999999999999,0.244
4,0.02511551236463705,0.9924999999999999,0.27349999999999997
5,0.01737220516223455,0.9941,0.32299999999999995
6,0.018576407318236253,0.9941,0.40349999999999997
7,0.011233517241734,0.9965999999999999,0.405
8,0.010338666943134699,0.9974000000000001,0.26775000000000004
9,0.010919690999633101,0.99655,0.27475
10,0.01522448074994025,0.996,0.39525
