Run,Epoch,Train Loss,Train Accuracy,Test Accuracy
1,1,0.0991866231039166,0.9674,0.386
1,2,0.0337209551639854,0.9895,0.269
1,3,0.020814706528373,0.9933,0.087
1,4,0.0291580703122541,0.9908,0.192
1,5,0.0178425623378716,0.9941,0.289
1,6,0.0170597419262863,0.9952,0.3665
1,7,0.0125500370386987,0.9963,0.3105
1,8,0.0147760467037558,0.9961,0.404
1,9,0.0118950674170395,0.9964,0.1765
1,10,0.0226999011805281,0.994,0.5035
2,1,0.0979473999649286,0.968,0.224
2,2,0.0252331409305334,0.9911,0.5385
2,3,0.0257696531262248,0.9919,0.401
2,4,0.02107295441702,0.9942,0.355
2,5,0.0169018479865975,0.9941,0.357
2,6,0.0200930727101862,0.993,0.4405
2,7,0.0099169974447693,0.9969,0.4995
2,8,0.0059012871825136,0.9987,0.1315
2,9,0.0099443145822267,0.9967,0.373
2,10,0.0077490603193524,0.998,0.287
