Final Epoch,MethodName,Final Train Accuracy,Final Test Accuracy
10,blur,0.99815,0.2735
10,brightness,0.99535,0.3007499999999999
10,colorjitter,0.99735,0.46
10,contrast,0.9953,0.45125
10,elastic_transform,0.99735,0.228
10,random_affine,0.9958,0.4315
10,random_autocontrast,0.999,0.4419999999999999
10,random_equalize,0.99475,0.30875
10,random_invert,0.99815,0.314
10,random_posterize,0.99665,0.12775
10,random_sharpeness,0.99835,0.263
10,random_solarize,0.99705,0.28
10,random_transform,0.99575,0.47175
10,rotation,0.996,0.39525
10,saturation,0.9981,0.19775
10,shear,0.9981,0.25875
10,withoutda,0.99675,0.47175
