Run,Epoch,Train Loss,Train Accuracy,Test Accuracy
1,1,0.0911623806230723,0.9717,0.0525
1,2,0.0291698821023106,0.9907,0.0475
1,3,0.0259536254525184,0.9919,0.084
1,4,0.0207360772311687,0.9932,0.3555
1,5,0.014073168580234,0.9955,0.226
1,6,0.0119639698890969,0.996,0.3945
1,7,0.009552015119791,0.9971,0.2535
1,8,0.0020750620622478,0.9995,0.3095
1,9,0.0030362461898359,0.9996,0.2195
1,10,0.0056973750109202,0.9987,0.328
2,1,0.0903149641886353,0.9716,0.2515
2,2,0.0232186790466308,0.9929,0.424
2,3,0.0250076412376016,0.9924,0.3105
2,4,0.0156381697738543,0.9951,0.4595
2,5,0.0169215997653082,0.9945,0.394
2,6,0.0087707025407347,0.9972,0.395
2,7,0.0057815537477377,0.9981,0.4
2,8,0.0097695887448498,0.9977,0.1705
2,9,0.0170874764344655,0.9942,0.337
2,10,0.0107818114101653,0.9976,0.219
