Run,Epoch,Train Loss,Train Accuracy,Test Accuracy
1,1,0.095034020833671,0.971,0.3775
1,2,0.0321211134552955,0.99,0.2445
1,3,0.0221422482060268,0.9932,0.275
1,4,0.0111988361048512,0.9964,0.119
1,5,0.0207856746343895,0.9933,0.468
1,6,0.0128778028783388,0.9964,0.315
1,7,0.0167185648219659,0.9947,0.31
1,8,0.0055726388254668,0.9984,0.3395
1,9,0.0072658892490551,0.9975,0.4425
1,10,0.0136905380023643,0.9962,0.402
2,1,0.0885606009930372,0.9707,0.3785
2,2,0.0300591354699805,0.9916,0.1885
2,3,0.0252940297590568,0.9928,0.3295
2,4,0.0216067566100507,0.9923,0.376
2,5,0.0224238942218013,0.993,0.414
2,6,0.0124482192062481,0.9964,0.4905
2,7,0.0103263533310266,0.9972,0.311
2,8,0.0072687077704817,0.9981,0.2455
2,9,0.0122635797748807,0.9957,0.4345
2,10,0.0172497164895758,0.9944,0.5005
