Epoch,Train Loss Average,Train Accuracy Average,Test Accuracy Average
1,0.3145408397197723,0.88415,0.002
2,0.0720460740089416,0.9782500000000001,0.00975
3,0.0512868937604129,0.98445,0.001
4,0.0351165729802101,0.9884999999999999,0.021500000000000002
5,0.03049555473737415,0.99055,0.06849999999999999
6,0.0269757550928741,0.99075,0.01075
7,0.0180000648166984,0.9945999999999999,0.08049999999999999
8,0.01922205872461195,0.99325,0.007500000000000001
9,0.01480907262978135,0.9953000000000001,0.06625
10,0.01113031542915845,0.9964999999999999,0.008
