Run,Epoch,Train Loss,Train Accuracy,Test Accuracy
1,1,0.3170705917954445,0.8834,0.004
1,2,0.0632778783202171,0.9807,0.019
1,3,0.0491631554201245,0.9846,0.002
1,4,0.0355435815319418,0.9886,0.0025
1,5,0.0319515793688595,0.9906,0.018
1,6,0.0282908341459929,0.9905,0.015
1,7,0.0131194159079343,0.9959,0.1445
1,8,0.0138843424908816,0.9953,0.0145
1,9,0.01453625656832,0.9957,0.121
1,10,0.0130544026538729,0.9957,0.0065
2,1,0.3120110876441002,0.8849,0.0
2,2,0.0808142696976661,0.9758,0.0005
2,3,0.0534106321007013,0.9843,0.0
2,4,0.0346895644284784,0.9884,0.0405
2,5,0.0290395301058888,0.9905,0.119
2,6,0.0256606760397553,0.991,0.0065
2,7,0.0228807137254625,0.9933,0.0165
2,8,0.0245597749583423,0.9912,0.0005
2,9,0.0150818886912427,0.9949,0.0115
2,10,0.009206228204444,0.9973,0.0095
