Epoch,Train Loss Average,Train Accuracy Average,Test Accuracy Average
1,0.34534733057320116,0.8701,0.00325
2,0.0831554723903536,0.97355,0.03175
3,0.0482521549724042,0.9852000000000001,0.0034999999999999996
4,0.0356578455816954,0.9884,0.0095
5,0.0340519139043986,0.98935,0.20099999999999998
6,0.02583616669420145,0.9914499999999999,0.0045000000000000005
7,0.0190297001251019,0.9942500000000001,0.11424999999999999
8,0.0185942674653604,0.9939,0.037000000000000005
9,0.01265563406678845,0.996,0.0415
10,0.012330675170524,0.9963,0.04575
