Run,Epoch,Train Loss,Train Accuracy,Test Accuracy
1,1,0.3055780174314976,0.8885,0.0
1,2,0.0755470447331666,0.9756,0.003
1,3,0.0462308608204126,0.9874,0.0045
1,4,0.0334588928312063,0.9903,0.0
1,5,0.0303830328390002,0.9898,0.0415
1,6,0.0245080227479338,0.9913,0.0105
1,7,0.0212683817166835,0.9936,0.173
1,8,0.0194976074559614,0.9937,0.0005
1,9,0.0153654453411698,0.9953,0.1455
1,10,0.0153009148977696,0.9951,0.003
2,1,0.2999646702408791,0.8926,0.0
2,2,0.0655097680807113,0.9807,0.1455
2,3,0.0431159466594457,0.9876,0.2195
2,4,0.034216652329266,0.9884,0.011
2,5,0.0294077348008751,0.9915,0.026
2,6,0.0205801034308969,0.9929,0.134
2,7,0.0150225845830515,0.9956,0.159
2,8,0.0100063870573416,0.997,0.0765
2,9,0.0159085326429456,0.995,0.0685
2,10,0.0218944597378373,0.9928,0.2945
