Epoch,Train Loss Average,Train Accuracy Average,Test Accuracy Average
1,0.3436486577928066,0.8734500000000001,0.00075
2,0.0797141263313591,0.97615,0.011000000000000001
3,0.048332556015253,0.9862,0.20275
4,0.03162876359596845,0.9901,0.00025
5,0.031537279486097344,0.99055,0.05775
6,0.0221859749272465,0.99305,0.049499999999999995
7,0.01598652906026685,0.9946999999999999,0.14049999999999999
8,0.0214359426999464,0.99295,0.044
9,0.01237930237296965,0.9958,0.2295
10,0.01061988312415775,0.99665,0.15450000000000003
