Run,Epoch,Train Loss,Train Accuracy,Test Accuracy
1,1,0.3551150375247001,0.8647,0.0005
1,2,0.0876191677987575,0.974,0.0175
1,3,0.0500507052332162,0.9858,0.1285
1,4,0.0291794537916779,0.9908,0.0005
1,5,0.0324461154226213,0.9903,0.0325
1,6,0.0230732567403465,0.993,0.088
1,7,0.0160780875705182,0.995,0.235
1,8,0.0159792433600872,0.9948,0.0745
1,9,0.0122264271968975,0.9958,0.281
1,10,0.0128672063248232,0.996,0.2805
2,1,0.3321822780609131,0.8822,0.001
2,2,0.0718090848639607,0.9783,0.0045
2,3,0.0466144067972898,0.9866,0.277
2,4,0.034078073400259,0.9894,0.0
2,5,0.0306284435495734,0.9908,0.083
2,6,0.0212986931141465,0.9931,0.011
2,7,0.0158949705500155,0.9944,0.046
2,8,0.0268926420398056,0.9911,0.0135
2,9,0.0125321775490418,0.9958,0.178
2,10,0.0083725599234923,0.9973,0.0285
