Run,Epoch,Train Loss,Train Accuracy,Test Accuracy
1,1,0.3586733665049076,0.8605,0.0
1,2,0.0852443270027637,0.9715,0.009
1,3,0.0482438473328948,0.9861,0.011
1,4,0.0361920045413076,0.9893,0.0005
1,5,0.0356857647433877,0.9893,0.2235
1,6,0.0284875824078917,0.9906,0.0025
1,7,0.0174791777469217,0.9939,0.0115
1,8,0.0165342565923929,0.9947,0.0505
1,9,0.0144866741154342,0.9952,0.0235
1,10,0.0097477360250428,0.9969,0.0395
2,1,0.3030029467225075,0.8892,0.001
2,2,0.0754532174497842,0.9763,0.004
2,3,0.0484827207565307,0.9864,0.01
2,4,0.0392847431108355,0.9882,0.0
2,5,0.0293829223044216,0.9915,0.003
2,6,0.0233142292760312,0.993,0.007
2,7,0.0166148755783215,0.9945,0.1285
2,8,0.0129276431586593,0.9955,0.013
2,9,0.0112499248664826,0.9966,0.0825
2,10,0.0070832669425755,0.9982,0.1315
