Run,Epoch,Train Loss,Train Accuracy,Test Accuracy
1,1,0.5025267154455185,0.7978,0.0
1,2,0.1221513134896755,0.9629,0.0
1,3,0.0720872096210718,0.9787,0.0005
1,4,0.0551273094430565,0.9835,0.0
1,5,0.0455230747044086,0.9859,0.1855
1,6,0.0356463331714272,0.9888,0.07
1,7,0.0321435614779591,0.9905,0.054
1,8,0.0268289663720876,0.9923,0.149
1,9,0.0206822272105142,0.9942,0.198
1,10,0.0168691863398998,0.9951,0.0055
2,1,0.4878089417219162,0.8045,0.0005
2,2,0.1085962057590484,0.9688,0.0005
2,3,0.0739706513524055,0.9792,0.0405
2,4,0.0469200440138578,0.984,0.002
2,5,0.0394945773139596,0.9889,0.0005
2,6,0.0394088244605809,0.9879,0.0345
2,7,0.0271692715983837,0.9915,0.072
2,8,0.0243842632163316,0.9932,0.002
2,9,0.0194365485165268,0.9941,0.0115
2,10,0.0246734558526426,0.992,0.1785
