Run,Epoch,Train Loss,Train Accuracy,Test Accuracy
1,1,0.3740031341731548,0.8608,0.0155
1,2,0.0860524660721421,0.9728,0.0
1,3,0.050643560141325,0.9856,0.0015
1,4,0.0369602599181234,0.9887,0.001
1,5,0.0356774992063641,0.9901,0.0005
1,6,0.0274837200652807,0.9913,0.0415
1,7,0.0197034694385714,0.9931,0.002
1,8,0.0257915529027581,0.9922,0.027
1,9,0.0152386833515018,0.9956,0.0375
1,10,0.0131021646623499,0.9954,0.07
2,1,0.3784064826786518,0.857,0.0005
2,2,0.0846708618298173,0.9745,0.0
2,3,0.0492793309360742,0.9843,0.027
2,4,0.0414228163614869,0.9871,0.012
2,5,0.0323653622463345,0.9904,0.088
2,6,0.0199653900895267,0.9946,0.018
2,7,0.0207640719797462,0.9939,0.097
2,8,0.019402950496599,0.9934,0.08
2,9,0.0123986089115962,0.9958,0.0915
2,10,0.0142599357845261,0.9956,0.0575
