Run,Epoch,Train Loss,Train Accuracy,Test Accuracy
1,1,0.3775107062220573,0.8571,0.012
1,2,0.0898838588237762,0.9714,0.0
1,3,0.052649696791172,0.9847,0.0
1,4,0.0415771540693938,0.9869,0.005
1,5,0.0354788103841245,0.9897,0.0245
1,6,0.0305977686241269,0.9909,0.2515
1,7,0.0209588225811719,0.9939,0.0195
1,8,0.0232298803083598,0.9919,0.046
1,9,0.011473496195767,0.9969,0.052
1,10,0.0096826478172093,0.9968,0.0805
2,1,0.3444166021823883,0.8653,0.006
2,2,0.0885149229586124,0.9706,0.0005
2,3,0.057682057929039,0.9831,0.0055
2,4,0.0356408911716192,0.9893,0.008
2,5,0.035302250008285,0.9896,0.1645
2,6,0.0331654048778116,0.9907,0.038
2,7,0.0240063456665724,0.993,0.062
2,8,0.0174611620675772,0.9943,0.257
2,9,0.0175668620178475,0.9946,0.038
2,10,0.0181791064463555,0.994,0.233
