Epoch,Train Loss Average,Train Accuracy Average,Test Accuracy Average
1,0.5456228933691978,0.78685,0.014750000000000001
2,0.09198412555456159,0.97175,0.01125
3,0.06078919591158625,0.9823999999999999,0.06025
4,0.0432184765722602,0.98695,0.10425000000000001
5,0.0340547988925129,0.9904999999999999,0.10775
6,0.0208146125879138,0.9937499999999999,0.112
7,0.02081054846728215,0.9935,0.09875
8,0.021502076311595703,0.9936,0.058750000000000004
9,0.01680504852645095,0.99475,0.17175
10,0.0166989175649359,0.99515,0.12475
