Run,Epoch,Train Loss,Train Accuracy,Test Accuracy
1,1,0.293079929625988,0.8957,0.0005
1,2,0.0749587064951658,0.9759,0.0075
1,3,0.041252333907783,0.9877,0.0315
1,4,0.0298770975492894,0.9911,0.073
1,5,0.0294340426586568,0.9899,0.2705
1,6,0.022286363441497,0.9923,0.037
1,7,0.0214544828671962,0.9924,0.0325
1,8,0.0124619265358895,0.9962,0.0085
1,9,0.0179794769221916,0.9943,0.124
1,10,0.0115957737902179,0.9969,0.087
2,1,0.3373192263960838,0.8779,0.024
2,2,0.0762599784404039,0.9753,0.0065
2,3,0.0500016761988401,0.9856,0.0085
2,4,0.0311083804048597,0.9893,0.05
2,5,0.0322428215749561,0.9912,0.0225
2,6,0.0254745385939255,0.9929,0.04
2,7,0.0168995519148185,0.9947,0.0005
2,8,0.0116562399569898,0.9967,0.018
2,9,0.020082891329471,0.9941,0.097
2,10,0.0111761063285171,0.9959,0.032
