Run,Epoch,Train Loss,Train Accuracy,Test Accuracy
1,1,0.333794790828228,0.8707,0.0255
1,2,0.0784737090349197,0.9767,0.0
1,3,0.0476567024946212,0.9849,0.01
1,4,0.0378340666085481,0.9878,0.0135
1,5,0.0308268591344356,0.9898,0.064
1,6,0.0262991737529635,0.992,0.0
1,7,0.0192718384962528,0.9936,0.0135
1,8,0.0205734567889943,0.9934,0.1255
1,9,0.021081925523281,0.9932,0.0525
1,10,0.0093881131909787,0.9976,0.1015
2,1,0.3195295318305492,0.8805,0.024
2,2,0.0681950394406914,0.9784,0.11
2,3,0.0497778894931077,0.9863,0.1245
2,4,0.0330774929389357,0.9889,0.004
2,5,0.0300592797935009,0.9903,0.031
2,6,0.0256284480340778,0.9933,0.1305
2,7,0.013824146451801,0.9949,0.3655
2,8,0.0220304713204503,0.9932,0.305
2,9,0.0116966327210888,0.997,0.2715
2,10,0.0087998224663548,0.9973,0.031
