Run,Epoch,Train Loss,Train Accuracy,Test Accuracy
1,1,0.3682125614643097,0.8619,0.0
1,2,0.0917422110497951,0.9713,0.0395
1,3,0.0536104346901178,0.9833,0.028
1,4,0.0435475270241498,0.9861,0.019
1,5,0.0392933813698589,0.9879,0.117
1,6,0.0241597920391708,0.9921,0.068
1,7,0.0241290828503668,0.9928,0.1135
1,8,0.0204393589569255,0.9937,0.086
1,9,0.0192757951945066,0.994,0.151
1,10,0.0113361407553777,0.997,0.038
2,1,0.4137304337739944,0.844,0.001
2,2,0.0827174433112144,0.9737,0.0005
2,3,0.0608724537044763,0.9832,0.0285
2,4,0.0406019035235047,0.9864,0.024
2,5,0.0385174614086747,0.9874,0.026
2,6,0.0310753384053707,0.9899,0.008
2,7,0.0231688597900792,0.9932,0.0
2,8,0.0189338431863114,0.9941,0.001
2,9,0.0208873579474166,0.9935,0.0035
2,10,0.0153065181203186,0.9949,0.047
