Run,Epoch,Train Loss,Train Accuracy,Test Accuracy
1,1,0.4323570254325867,0.8332,0.0015
1,2,0.0728588060170412,0.9787,0.0005
1,3,0.0502286196023225,0.9845,0.026
1,4,0.0406787773519754,0.9877,0.0
1,5,0.0361569557994604,0.9887,0.171
1,6,0.0222506928008049,0.9921,0.0355
1,7,0.0240178452685475,0.9929,0.113
1,8,0.02309884666875,0.9922,0.012
1,9,0.0193424263802357,0.9942,0.2465
1,10,0.0154722440419718,0.9943,0.151
2,1,0.4214978683114052,0.8358,0.001
2,2,0.0730122737556696,0.9767,0.0075
2,3,0.0589512792617082,0.9822,0.0385
2,4,0.0368686420112848,0.9877,0.022
2,5,0.0305163243979215,0.9903,0.006
2,6,0.0315952932193875,0.9898,0.0095
2,7,0.022712911770679,0.9932,0.074
2,8,0.0182477307779714,0.9944,0.0125
2,9,0.0176873223898932,0.995,0.1155
2,10,0.0144886760579422,0.9949,0.155
