Run,Epoch,Train Loss,Train Accuracy,Test Accuracy
1,1,0.3509544868230819,0.8736,0.0005
1,2,0.089782154251635,0.9713,0.0595
1,3,0.053449935992062,0.9832,0.016
1,4,0.0402810781061649,0.9877,0.0095
1,5,0.0382801246836781,0.9885,0.362
1,6,0.0333286880901083,0.9891,0.013
1,7,0.0237222485035657,0.9931,0.1375
1,8,0.0244488619763404,0.9921,0.022
1,9,0.017978848160617,0.9948,0.137
1,10,0.0105603320399299,0.9963,0.032
2,1,0.4203644927024841,0.8434,0.001
2,2,0.0813922577917575,0.9741,0.1195
2,3,0.0515334615603089,0.9843,0.06
2,4,0.0408131621025502,0.9866,0.0195
2,5,0.0328848080597817,0.991,0.0325
2,6,0.0272522818833589,0.9908,0.0
2,7,0.0247004231862723,0.9924,0.0405
2,8,0.0173785139253363,0.994,0.033
2,9,0.0141548251383006,0.9951,0.0005
2,10,0.0184162383850663,0.994,0.0545
