Run,Epoch,Train Loss,Train Accuracy,Test Accuracy
1,1,0.2956502742707729,0.8907,0.005
1,2,0.0695809890218079,0.9778,0.0005
1,3,0.0393153994023799,0.9892,0.2875
1,4,0.0303473415777087,0.9913,0.025
1,5,0.0316496239565312,0.991,0.069
1,6,0.0195130373021587,0.9942,0.116
1,7,0.0215366778066381,0.9929,0.142
1,8,0.0121733234666287,0.9959,0.022
1,9,0.01376303217737,0.9956,0.1115
1,10,0.0085667905941605,0.9972,0.0835
2,1,0.3499234039187431,0.8707,0.0735
2,2,0.0669805877119302,0.9786,0.001
2,3,0.0485522850900888,0.9843,0.0275
2,4,0.0304898246333003,0.9904,0.027
2,5,0.0357996085055172,0.9892,0.005
2,6,0.0241796900596469,0.992,0.0715
2,7,0.0159461787191219,0.9949,0.1735
2,8,0.0176024888236075,0.994,0.1005
2,9,0.0191996479667723,0.9945,0.0335
2,10,0.0131431397056207,0.9958,0.0845
