Epoch,Train Loss Average,Train Accuracy Average,Test Accuracy Average
1,0.3797010937869548,0.858,0.029249999999999998
2,0.07698529203459614,0.9764999999999999,0.010499999999999999
3,0.0519438512168824,0.98405,0.057499999999999996
4,0.0365044373299926,0.98855,0.0125
5,0.03209227316044265,0.9899,0.051750000000000004
6,0.0244933595696464,0.99175,0.040749999999999995
7,0.0260552913170307,0.99195,0.036250000000000004
8,0.01881958714239295,0.99425,0.04325
9,0.014284668183233498,0.9957,0.1295
10,0.015946797570306752,0.99525,0.03475
