Run,Epoch,Train Loss,Train Accuracy,Test Accuracy
1,1,0.3551761401772499,0.8691,0.032
1,2,0.0708481365606188,0.9779,0.0075
1,3,0.0490013645038008,0.985,0.09
1,4,0.0336669435717165,0.9893,0.025
1,5,0.0327523029312491,0.9897,0.0785
1,6,0.0218115467842668,0.9928,0.0515
1,7,0.0256810588642954,0.9923,0.0645
1,8,0.0146967589430511,0.9961,0.071
1,9,0.0166879557112231,0.9949,0.1725
1,10,0.0193332121608778,0.9939,0.0645
2,1,0.4042260473966598,0.8469,0.0265
2,2,0.0831224475085735,0.9751,0.0135
2,3,0.054886337929964,0.9831,0.025
2,4,0.0393419310882687,0.9878,0.0
2,5,0.0314322433896362,0.9901,0.025
2,6,0.027175172355026,0.9907,0.03
2,7,0.026429523769766,0.9916,0.008
2,8,0.0229424153417348,0.9924,0.0155
2,9,0.0118813806552439,0.9965,0.0865
2,10,0.0125603829797357,0.9966,0.005
