Epoch,Train Loss Average,Train Accuracy Average,Test Accuracy Average
1,0.33519226185828443,0.87175,0.05425
2,0.06381125527173274,0.9810000000000001,0.08125
3,0.0409258640557527,0.9876,0.25975000000000004
4,0.034267189557477803,0.98935,0.49324999999999997
5,0.02485553974919015,0.9922,0.40275
6,0.0225755312343593,0.9925999999999999,0.5135000000000001
7,0.02036716247554865,0.99325,0.21200000000000002
8,0.01519943588152525,0.995,0.373
9,0.0196571752716321,0.9944,0.36024999999999996
10,0.00969610363962125,0.9967999999999999,0.488
