Run,Epoch,Train Loss,Train Accuracy,Test Accuracy
1,1,0.3339499379068613,0.873,0.0785
1,2,0.0684359858512878,0.9796,0.11
1,3,0.0414577111899852,0.9874,0.3205
1,4,0.0371362841881811,0.9885,0.639
1,5,0.0257439924590289,0.9923,0.619
1,6,0.0207587859469465,0.993,0.6075
1,7,0.019189243523404,0.9933,0.1
1,8,0.0172291114911437,0.9941,0.4155
1,9,0.0168640580818988,0.9956,0.4195
1,10,0.0083218357041478,0.9972,0.6075
2,1,0.3364345858097076,0.8705,0.03
2,2,0.0591865246921777,0.9824,0.0525
2,3,0.0403940169215202,0.9878,0.199
2,4,0.0313980949267745,0.9902,0.3475
2,5,0.0239670870393514,0.9921,0.1865
2,6,0.0243922765217721,0.9922,0.4195
2,7,0.0215450814276933,0.9932,0.324
2,8,0.0131697602719068,0.9959,0.3305
2,9,0.0224502924613654,0.9932,0.301
2,10,0.0110703715750947,0.9964,0.3685
