Epoch,Train Loss Average,Train Accuracy Average,Test Accuracy Average
1,1.6295186787843705,40.45,32.019999999999996
2,0.5818210196495056,81.33333333333334,63.145
3,0.3188187326703752,90.725,70.27799999999999
4,0.2587779433932155,91.96000000000001,75.253
5,0.17891929913312193,94.65,84.411
6,0.13856021081182085,95.91428571428571,87.701
7,0.1309286820272413,95.9875,89.071
8,0.15851260419934987,96.43333333333334,84.342
9,0.18175524814287197,94.72,84.748
10,0.1522922621328487,96.04545454545455,89.183
