Run,Epoch,Train Loss,Train Accuracy,Test Accuracy
1,1,1.689800262451172,36.5,27.33
1,2,0.6319095969200135,78.66666666666667,60.2
1,3,0.2697818130254745,92.25,67.52
1,4,0.2066866997629404,94.0,65.88
1,5,0.2147826053202152,93.33333333333331,85.89
1,6,0.1663709204982627,95.71428571428572,85.42
1,7,0.1647263696560492,95.25,92.16
1,8,0.306510079652071,95.55555555555556,84.74
1,9,0.3352316790260374,91.1,74.0
1,10,0.2046603229310777,94.9090909090909,89.02
2,1,1.5007739961147308,39.5,25.46
2,2,0.6356338739395142,78.0,65.07
2,3,0.305995557989393,90.0,73.16
2,4,0.2844957895576954,91.0,71.68
2,5,0.1899178087711334,94.33333333333331,77.99
2,6,0.145929491655393,95.57142857142856,91.3
2,7,0.1023563758398477,96.625,89.37
2,8,0.1232350505888462,95.88888888888889,82.99
2,9,0.097373790689744,96.3,89.47
2,10,0.1093188122225304,97.0,92.62
3,1,1.6263883411884308,43.0,44.24
3,2,0.5681336104869843,82.0,63.32
3,3,0.2594215444156101,91.75,64.63
3,4,0.2156308656558394,92.4,80.86
3,5,0.183355938270688,95.5,86.27
3,6,0.1561048609966581,95.28571428571428,84.6
3,7,0.1693775258385218,95.125,90.86
3,8,0.2713170344630877,95.88888888888889,70.54
3,9,0.270144609734416,92.4,76.79
3,10,0.1744179545591274,96.0909090909091,89.1
4,1,1.707969754934311,38.5,41.17
4,2,0.4681336462497711,86.33333333333333,72.28
4,3,0.2480456956795283,93.0,80.06
4,4,0.2280545816756785,91.8,74.3
4,5,0.1593531031161546,95.33333333333331,83.49
4,6,0.1216193518855355,96.42857142857144,91.59
4,7,0.1162144504487514,96.25,87.53
4,8,0.1526903823018074,95.77777777777776,89.28
4,9,0.0936520001851022,97.8,91.06
4,10,0.1421911521918243,96.63636363636364,85.51
5,1,1.5752750635147097,45.0,34.68
5,2,0.5099086105823517,85.0,70.42
5,3,0.3075022229126521,91.5,73.85
5,4,0.2277352241799235,93.6,81.28
5,5,0.1539290808141231,94.66666666666669,87.93
5,6,0.1376509331166744,96.0,88.43
5,7,0.1144812724624688,96.25,90.59
5,8,0.0918074237803618,97.0,88.81
5,9,0.1074664179468527,97.3,91.45
5,10,0.1444667587186106,96.54545454545456,90.09
6,1,1.5643538534641266,45.0,22.85
6,2,0.6152665257453919,80.33333333333333,66.27
6,3,0.4065109619072505,91.0,72.75
6,4,0.2368312394246459,92.0,73.42
6,5,0.1818570889532566,93.83333333333331,85.36
6,6,0.0966427915475585,97.0,88.6
6,7,0.0869529424951626,96.375,87.29
6,8,0.1883273035908738,97.22222222222224,82.48
6,9,0.2730561220087111,91.8,79.75
6,10,0.2343367747962474,94.1818181818182,92.4
7,1,1.5893227458000183,39.5,20.38
7,2,0.6421197414398193,81.66666666666667,54.43
7,3,0.2980142044169562,90.75,72.81
7,4,0.2231431733816862,93.4,77.72
7,5,0.1517953854054212,95.5,90.49
7,6,0.1462386555292389,96.14285714285714,86.04
7,7,0.1422383169142099,95.375,90.94
7,8,0.0894781852761904,96.55555555555556,87.0
7,9,0.0940796652575954,97.2,93.14
7,10,0.0922663175087008,97.45454545454544,86.16
8,1,1.7257046699523926,38.5,29.4
8,2,0.5592517971992492,83.0,66.07
8,3,0.3221347161701747,91.5,61.55
8,4,0.310550419613719,91.0,74.89
8,5,0.164532122015953,94.5,80.64
8,6,0.1245143003761768,95.28571428571428,88.18
8,7,0.1520615071058273,95.5,88.72
8,8,0.1465748303880294,96.44444444444444,77.66
8,9,0.2366306140320375,92.7,83.99
8,10,0.1383648777587546,96.0,89.16
9,1,1.6865642070770264,37.0,51.43
9,2,0.5674251019954681,81.0,57.45
9,3,0.3705281700406755,87.5,70.3
9,4,0.2356005031615495,93.2,84.57
9,5,0.1874938189983367,95.5,84.12
9,6,0.1324950571764599,96.42857142857144,86.04
9,7,0.1246991871784512,97.0,84.46
9,8,0.0985719922930002,96.88888888888889,88.31
9,9,0.1173636935418471,96.5,88.73
9,10,0.1598225151085191,96.63636363636364,85.81
10,1,1.6290338933467865,42.0,23.26
10,2,0.6204276919364929,77.33333333333333,55.94
10,3,0.4002524401460375,88.0,66.15
10,4,0.4190509375184774,87.2,67.93
10,5,0.2021760396659374,94.0,81.93
10,6,0.1580357453362508,95.28571428571428,86.81
10,7,0.1361788723331231,96.125,88.79
10,8,0.1166137596592307,97.11111111111111,91.61
10,9,0.1925538890063762,94.1,79.1
10,10,0.1230771355330944,95.0,91.96
