Run,Epoch,Train Loss,Train Accuracy,Test Accuracy
1,1,1.7691971510648727,32.5,24.22
1,2,0.9887276291847228,66.0,58.46
1,3,0.470700204372406,83.0,69.11
1,4,0.3075994700193405,91.4,69.89
1,5,0.2406422175467014,92.66666666666669,90.62
1,6,0.1698824492367831,95.71428571428572,89.61
1,7,0.2012705529251924,94.25,91.0
1,8,0.1556331248953938,95.33333333333331,90.54
1,9,0.1498205349780619,95.8,91.87
1,10,0.0645991787314415,98.1818181818182,91.24
2,1,1.8428294658660889,30.5,25.04
2,2,1.048043966293335,67.0,47.17
2,3,0.5225347472088677,83.5,73.75
2,4,0.3375007137656212,90.6,71.64
2,5,0.2917939215898514,91.83333333333331,85.99
2,6,0.2476021938703277,91.85714285714286,86.75
2,7,0.1455318916302461,94.75,88.85
2,8,0.166519109159708,94.66666666666669,85.21
2,9,0.1745129756163805,94.9,90.94
2,10,0.0792484436598089,97.72727272727272,93.96
3,1,2.0557703375816345,26.5,37.71
3,2,1.0080641031265258,67.33333333333333,57.19
3,3,0.5983637911932809,80.75,52.61
3,4,0.4020600114017725,87.2,79.13
3,5,0.2725088328123092,90.5,85.25
3,6,0.2101439921693368,92.85714285714286,90.7
3,7,0.1221076017962052,96.375,89.84
3,8,0.2266956893106301,95.66666666666669,72.94
3,9,0.2904049321077764,91.7,85.88
3,10,0.1771865102152029,94.9090909090909,93.2
4,1,1.9584855139255524,29.0,28.11
4,2,1.1450198769569395,63.0,54.04
4,3,0.5654598346778325,79.25,68.95
4,4,0.3497766256332397,88.0,78.65
4,5,0.2086210273206234,92.83333333333331,82.49
4,6,0.2406182878396728,91.42857142857144,91.74
4,7,0.148652412283879,94.125,89.37
4,8,0.1767710996170838,94.66666666666669,92.62
4,9,0.1980799615848809,94.2,90.44
4,10,0.1427089016263683,96.8181818181818,91.24
5,1,1.9071455895900729,26.5,34.91
5,2,0.9482666969299316,68.0,53.63
5,3,0.4808035407747541,83.75,75.34
5,4,0.376497745513916,87.0,72.76
5,5,0.2752469822764397,91.33333333333331,84.99
5,6,0.1911757947369055,95.14285714285714,80.96
5,7,0.1344528559308785,95.5,91.08
5,8,0.2330306270470221,97.0,89.58
5,9,0.2552953630220145,92.2,83.29
5,10,0.1480665480097135,95.54545454545456,90.63
6,1,1.8617490231990812,30.0,33.87
6,2,1.0675068616867065,64.0,58.38
6,3,0.4795335616384233,85.75,63.32
6,4,0.3475769385695457,88.2,85.92
6,5,0.2492299012839794,92.5,80.2
6,6,0.1747241043909029,94.28571428571428,86.85
6,7,0.1803977541052378,93.75,93.82
6,8,0.1521972050269444,95.11111111111111,93.92
6,9,0.1607896976638585,95.5,93.99
6,10,0.1217017270003755,96.63636363636364,86.72
7,1,1.934664100408554,28.0,16.35
7,2,1.050058114528656,66.66666666666667,62.94
7,3,0.4797682549272264,84.75,73.57
7,4,0.407741691917181,87.6,86.41
7,5,0.1603142015635967,94.83333333333331,87.15
7,6,0.1597376350652087,95.42857142857144,91.12
7,7,0.1891205290762277,93.25,89.82
7,8,0.1643011827021837,94.77777777777776,90.0
7,9,0.2617095243185758,92.2,88.35
7,10,0.1354602265896068,95.36363636363636,92.66
8,1,1.960426926612854,31.0,22.67
8,2,0.8453295230865479,72.0,54.56
8,3,0.3834850404943739,87.75,77.47
8,4,0.3223489914089441,87.6,84.56
8,5,0.2250006455928087,92.5,85.03
8,6,0.2319745489142158,92.71428571428572,91.45
8,7,0.1870419887396005,94.25,90.52
8,8,0.174950244029363,95.22222222222224,78.33
8,9,0.333514648489654,91.2,91.65
8,10,0.171477982463936,94.72727272727272,91.12
9,1,2.0083547234535217,29.5,27.35
9,2,1.0722171187400815,59.66666666666666,51.26
9,3,0.5146523756640298,82.25,73.37
9,4,0.3527851551771164,89.6,67.42
9,5,0.2431543290615082,92.83333333333331,87.47
9,6,0.206152683970603,93.85714285714286,87.74
9,7,0.1774447746574878,94.5,87.67
9,8,0.1435281568517287,95.66666666666669,92.84
9,9,0.190762645797804,93.9,82.61
9,10,0.1754242786102824,96.0,92.38
10,1,1.8281183242797847,33.0,44.68
10,2,1.0511799454689026,62.333333333333336,68.46
10,3,0.5173351445368358,81.0,76.38
10,4,0.3484877236187458,87.0,88.94
10,5,0.32605881690979,88.66666666666667,81.47
10,6,0.2071664617820219,93.42857142857144,86.59
10,7,0.1827084651360145,94.375,92.22
10,8,0.1308470108856757,96.33333333333331,85.86
10,9,0.1661529559642076,94.9,89.81
10,10,0.0755416748838292,97.54545454545456,89.08
