Epoch,Train Loss Average,Train Accuracy Average,Test Accuracy Average
1,1.7010799199342728,37.9,33.64
2,0.5937708103656769,81.8,54.708000000000006
3,0.2775041951664856,91.975,67.372
4,0.23386110919527706,93.03999999999999,77.763
5,0.16765937099233266,94.86666666666665,80.194
6,0.15612681753594765,95.08571428571429,82.974
7,0.1329890411633711,95.65,86.032
8,0.1491488069357971,96.16666666666666,84.9
9,0.19764841754222287,94.22999999999999,80.965
10,0.13309735726151198,96.17272727272727,85.82300000000001
