Epoch,Train Loss Average,Train Accuracy Average,Test Accuracy Average
1,1.683217456191778,38.2,30.294999999999998
2,0.5938424241542817,80.96666666666667,51.827
3,0.3166813339505877,89.975,65.934
4,0.2333507678005844,92.67999999999999,76.212
5,0.17439880235120647,94.78333333333333,83.696
6,0.12702442915602158,95.95714285714286,85.989
7,0.10850434647873042,96.65,89.284
8,0.18357751511037348,96.73333333333332,86.67
9,0.2229536732891574,93.61,80.85400000000001
10,0.1486192356355281,95.73636363636363,88.353
