Run,Epoch,Train Loss,Train Accuracy,Test Accuracy
1,1,1.6396439373493197,39.5,25.53
1,2,0.726622998714447,76.0,59.32
1,3,0.501071640423366,87.75,66.66
1,4,0.3910713624209165,87.0,55.19
1,5,0.2161842264235019,92.5,81.91
1,6,0.2084259306165305,94.0,84.29
1,7,0.1745904188316602,93.75,89.41
1,8,0.3110729411244392,94.88888888888889,90.17
1,9,0.3081207945942879,90.3,85.31
1,10,0.2160303528524107,93.36363636363636,77.37
2,1,1.6417250633239746,41.0,43.29
2,2,0.7439780831336975,76.0,58.0
2,3,0.4301383005721228,84.75,58.14
2,4,0.2043007593601942,93.6,81.04
2,5,0.2365598455071449,93.16666666666669,83.97
2,6,0.2072829888625578,94.0,71.29
2,7,0.1751409419454061,94.0,85.98
2,8,0.2176669412602981,95.55555555555556,85.81
2,9,0.2674636575393379,92.1,81.67
2,10,0.1698640022012922,95.36363636363636,83.43
3,1,1.6977879405021667,38.5,38.48
3,2,0.687636137008667,78.33333333333333,38.51
3,3,0.350603240941252,89.25,67.96
3,4,0.2720495471730828,92.2,74.56
3,5,0.2180732943117618,94.0,88.36
3,6,0.1293654286048629,96.57142857142856,90.32
3,7,0.0956809291472801,96.625,90.12
3,8,0.140212020277977,95.88888888888889,83.57
3,9,0.0929342181188985,97.0,91.12
3,10,0.1123050965122982,95.9090909090909,90.94
4,1,1.716392159461975,38.0,25.88
4,2,0.8366110682487488,73.33333333333333,55.15
4,3,0.350517845579556,88.25,66.64
4,4,0.2134444806724786,93.0,77.45
4,5,0.1528513506054878,95.33333333333331,81.31
4,6,0.1970922648906707,93.42857142857144,89.33
4,7,0.2208717101468489,94.25,89.48
4,8,0.1849079658587773,96.33333333333331,87.45
4,9,0.2454525616485625,91.8,72.83
4,10,0.2086022773550616,94.36363636363636,88.94
5,1,1.64193594455719,41.0,40.08
5,2,0.6350087702274323,81.0,63.85
5,3,0.3307684085198811,89.25,61.74
5,4,0.2562780920416116,90.6,82.72
5,5,0.172961214184761,94.33333333333331,81.06
5,6,0.1441870125179941,95.57142857142856,90.38
5,7,0.1335955669100468,95.5,89.54
5,8,0.120568823814392,95.0,91.6
5,9,0.1259128702222369,95.9,91.28
5,10,0.0784265579034884,97.54545454545456,92.31
6,1,1.587109088897705,40.0,27.83
6,2,0.703822112083435,77.33333333333333,66.25
6,3,0.3349254642214094,88.0,68.84
6,4,0.2606838066130876,92.2,64.93
6,5,0.1988009557127952,93.16666666666669,81.8
6,6,0.1225246546620672,96.57142857142856,81.68
6,7,0.1085897911913119,97.25,91.06
6,8,0.2231143015126387,95.55555555555556,87.19
6,9,0.2565858429297805,92.3,70.28
6,10,0.1949650243752532,94.0909090909091,91.96
7,1,1.6713025867938995,33.5,37.02
7,2,0.7087724268436432,78.33333333333333,50.27
7,3,0.3167808992522103,91.0,78.28
7,4,0.2410877645015716,92.4,62.91
7,5,0.3368783146142959,90.33333333333331,79.33
7,6,0.2492147629911249,91.71428571428572,77.82
7,7,0.1825195911985177,94.125,89.59
7,8,0.1111259557306766,97.0,89.91
7,9,0.1193862459622323,96.2,90.9
7,10,0.1330259444399012,95.8181818181818,94.0
8,1,1.8046438992023468,34.5,27.67
8,2,0.6653559148311615,79.33333333333333,47.01
8,3,0.36261100428445,89.75,76.8
8,4,0.2649419270455837,91.4,57.52
8,5,0.2925304323434829,92.33333333333331,84.65
8,6,0.1805190234021707,95.14285714285714,89.75
8,7,0.1341566719974462,95.875,89.41
8,8,0.1244033649563789,95.77777777777776,88.42
8,9,0.1068876542849466,97.4,89.9
8,10,0.0949991599967082,97.1818181818182,91.15
9,1,1.5061808675527573,37.0,48.36
9,2,0.5059664905071258,81.0,64.17
9,3,0.3459613834108625,90.0,59.87
9,4,0.3680969644337892,89.0,84.84
9,5,0.2641999244689941,93.16666666666669,86.57
9,6,0.2533626563169739,92.85714285714286,81.87
9,7,0.1722157683510046,94.5,88.25
9,8,0.1689542258158326,94.55555555555556,83.65
9,9,0.1464714960893616,95.8,89.12
9,10,0.1233096118602487,96.0909090909091,93.59
10,1,1.7053792774677277,39.0,44.08
10,2,0.7254492402076721,77.33333333333333,60.87
10,3,0.377619458096368,88.0,62.08
10,4,0.2772741634398699,90.0,75.88
10,5,0.2180651240050792,93.83333333333331,88.13
10,6,0.1919960596344687,95.0,89.73
10,7,0.13196302506213,95.75,90.48
10,8,0.2205164981385072,94.66666666666669,86.65
10,9,0.2644019285216927,92.4,87.93
10,10,0.1343905879702005,95.54545454545456,92.21
