Epoch,Train Loss Average,Train Accuracy Average,Test Accuracy Average
1,1.964991594851017,28.5,26.895
2,1.045713562965393,65.46666666666667,54.910000000000004
3,0.6027243871773993,80.75,70.987
4,0.4071632657200098,87.14,79.269
5,0.2568723284080624,91.88333333333334,84.76599999999999
6,0.21543999189002944,93.05714285714286,87.438
7,0.14345069417300133,95.6,90.94500000000001
8,0.20087157034625608,96.1888888888889,90.316
9,0.23204061175347301,92.94,87.89
10,0.17312809368078078,95.00909090909092,91.02000000000001
