Run,Epoch,Train Loss,Train Accuracy,Test Accuracy
1,1,2.374332129955292,17.5,13.33
1,2,1.8633360624313355,36.66666666666666,36.86
1,3,1.4386820367404394,49.0,54.66
1,4,1.239270307123661,58.8,57.06
1,5,0.9947621643543244,68.5,60.28
1,6,0.6954111538150094,78.14285714285714,81.96
1,7,0.4746726728402651,86.125,86.8
1,8,0.3882674813270569,85.55555555555556,86.48
1,9,0.426523950882256,85.7,77.58
1,10,0.365785544945134,88.0909090909091,84.88
2,1,2.333808898925781,14.5,19.0
2,2,1.952930450439453,35.666666666666664,27.36
2,3,1.440344214439392,52.25,53.53
2,4,1.2788932099938393,56.0,62.33
2,5,0.8375276267528534,70.83333333333333,78.68
2,6,0.6270957751707598,78.85714285714286,69.55
2,7,0.536884605884552,81.875,80.18
2,8,0.5221068978309631,85.33333333333333,83.83
2,9,0.5594121180474758,83.6,57.97
2,10,0.4128517425722546,86.0909090909091,87.65
3,1,2.4181740283966064,21.5,13.4
3,2,1.8437378883361817,39.66666666666666,34.22
3,3,1.490727492741176,51.5,48.73
3,4,1.1243663802742958,63.0,65.02
3,5,0.7791922628879547,74.83333333333333,78.31
3,6,0.5972342816266146,80.14285714285714,83.36
3,7,0.5106360499675457,82.875,82.84
3,8,0.4310624063014984,84.44444444444444,80.51
3,9,0.400365762412548,86.0,92.01
3,10,0.3232149009903272,90.0,91.05
4,1,2.361519038677216,15.0,17.73
4,2,1.8267229318618772,39.0,33.57
4,3,1.4114277873720442,52.0,46.78
4,4,1.044863484799862,63.8,46.88
4,5,0.6740194588899613,75.83333333333333,41.68
4,6,0.6688986827026714,77.57142857142857,69.24
4,7,0.4060436899845416,86.375,88.0
4,8,0.3975566665331522,88.22222222222223,88.52
4,9,0.3793284371495247,87.6,88.82
4,10,0.3334892615675926,90.54545454545456,92.29
5,1,2.0888254046440125,25.5,22.26
5,2,1.815411281585693,41.66666666666666,30.95
5,3,1.4620100940976823,52.25,26.62
5,4,1.20549625903368,57.4,44.28
5,5,0.805239337682724,71.33333333333333,43.8
5,6,0.5814314809712496,82.0,78.71
5,7,0.4024278601774803,86.25,65.79
5,8,0.5182036916414897,86.55555555555556,73.84
5,9,0.5700068231672049,82.5,65.36
5,10,0.376486467404498,87.9090909090909,88.01
6,1,2.4013254046440125,14.5,12.91
6,2,2.040503907203674,32.333333333333336,19.96
6,3,1.3707715954099382,53.5,25.42
6,4,1.1219018772244451,62.4,36.56
6,5,0.7707265555858612,71.83333333333333,71.61
6,6,0.5352511947805231,81.14285714285714,74.47
6,7,0.5021200317602891,82.75,77.28
6,8,0.4515660901864369,86.0,85.48
6,9,0.5579878650605679,81.5,80.23
6,10,0.4559870527850257,85.36363636363636,85.39
7,1,2.4802181720733643,17.0,20.88
7,2,1.882874894142151,35.333333333333336,33.19
7,3,1.4202680417469569,53.25,46.07
7,4,1.086424641311169,63.4,62.71
7,5,0.8005853891372681,73.33333333333333,70.02
7,6,0.667791101065549,76.42857142857143,74.55
7,7,0.4918639980829679,84.5,82.6
7,8,0.4161622087160746,86.44444444444444,81.43
7,9,0.4461183417588472,84.8,83.51
7,10,0.3476247928208775,89.54545454545455,92.15
8,1,2.2381864190101624,21.0,22.35
8,2,1.9795843362808228,32.0,30.56
8,3,1.4728589057922363,54.5,36.32
8,4,1.176444187760353,61.8,46.62
8,5,0.7572084605693817,73.0,68.09
8,6,0.5427626506848768,82.0,86.09
8,7,0.4611595043769249,85.125,74.08
8,8,0.4837253441413243,85.88888888888889,87.89
8,9,0.6182843260467052,81.4,84.86
8,10,0.4101206618878577,87.63636363636364,86.76
9,1,2.3633559942245483,22.5,16.11
9,2,1.9311723470687867,33.0,31.86
9,3,1.3933525596346177,55.0,58.99
9,4,1.1065988391637802,63.4,63.72
9,5,0.7418579936027527,73.5,60.8
9,6,0.5427167307246815,82.0,76.56
9,7,0.4949168035617241,83.375,76.9
9,8,0.4529823442300161,85.33333333333333,85.4
9,9,0.3945198124274611,86.9,89.52
9,10,0.3238050966627068,90.0909090909091,82.1
10,1,2.339978396892548,19.5,12.12
10,2,2.009671449661255,36.0,23.25
10,3,1.5199729885373796,45.75,42.46
10,4,1.1958323121070862,59.8,50.81
10,5,0.8005349844694137,72.0,55.46
10,6,0.6690389757806604,78.14285714285714,84.93
10,7,0.5454333287018996,83.625,76.4
10,8,0.4612066487471262,86.11111111111111,75.55
10,9,0.5339834671467543,82.7,72.04
10,10,0.4034000924891895,86.72727272727273,79.04
