Epoch,Train Loss Average,Train Accuracy Average,Test Accuracy Average
1,1.688929168879986,39.0,33.730000000000004
2,0.6078163915872574,80.53333333333333,59.715999999999994
3,0.3296197142984186,90.775,66.80699999999999
4,0.26675852304324504,91.78,72.547
5,0.1859407058730721,94.43333333333332,80.563
6,0.1580178778279911,95.44285714285714,85.164
7,0.13109209195782354,95.9625,88.51
8,0.1429928800091147,96.97777777777779,87.21900000000001
9,0.19624432393757157,94.39,85.444
10,0.14243658197940218,95.8,88.439
