Run,Epoch,Train Loss,Train Accuracy,Test Accuracy
1,1,1.9748335182666776,27.0,28.35
1,2,1.187443208694458,57.0,58.88
1,3,0.6791786508900779,76.75,54.47
1,4,0.4514658227562904,84.8,80.63
1,5,0.2676177591085434,91.5,84.57
1,6,0.1521224335513331,95.0,91.47
1,7,0.1556560858511007,94.375,88.43
1,8,0.1479073802630106,96.0,92.83
1,9,0.2277335212565958,93.6,90.97
1,10,0.1251097075227234,95.72727272727272,92.71
2,1,1.96884161233902,26.0,23.29
2,2,0.9733929872512818,70.33333333333333,56.04
2,3,0.4159003304583685,87.0,67.17
2,4,0.3295329958200454,88.2,83.14
2,5,0.2278380237519741,94.16666666666669,84.14
2,6,0.1821341304616494,93.57142857142856,91.48
2,7,0.1486822424026636,95.75,87.62
2,8,0.1481289801498254,96.22222222222224,90.47
2,9,0.1872543655335903,94.6,90.35
2,10,0.1636567035069068,94.54545454545456,89.56
3,1,1.85088649392128,33.5,23.4
3,2,0.9811549067497254,68.33333333333333,52.13
3,3,0.5715238622256688,82.0,64.7
3,4,0.4612474609166384,85.2,80.32
3,5,0.2901085659861565,91.66666666666669,87.19
3,6,0.2055240774696523,92.71428571428572,91.27
3,7,0.1801177833515864,94.375,82.19
3,8,0.1529071008165677,94.44444444444444,92.44
3,9,0.1151403274852782,96.2,91.64
3,10,0.0947570984976159,96.0909090909091,90.25
4,1,2.139599472284317,21.0,25.96
4,2,0.9172869205474854,71.66666666666667,60.3
4,3,0.469879184450422,85.5,57.98
4,4,0.3555621244013309,89.0,83.07
4,5,0.2719529189169407,92.0,85.3
4,6,0.2706714123487472,91.28571428571428,89.64
4,7,0.149689678962414,94.375,92.22
4,8,0.122846977536877,96.22222222222224,92.11
4,9,0.0902676443802192,97.2,93.14
4,10,0.1203363154911332,96.27272727272728,87.36
5,1,2.0141798853874207,27.5,28.81
5,2,1.1894274950027466,59.66666666666666,46.46
5,3,0.5409391479832786,81.25,83.04
5,4,0.3273509759455919,88.2,78.58
5,5,0.1993900373578071,93.33333333333331,88.16
5,6,0.2258563735945658,93.14285714285714,88.69
5,7,0.1854602135717868,95.25,90.16
5,8,0.1549510113894939,95.77777777777776,91.43
5,9,0.1151554425014182,96.4,93.86
5,10,0.1152098556049168,96.8181818181818,95.12
6,1,1.893340140581131,28.0,24.64
6,2,1.1537549138069152,62.66666666666666,66.21
6,3,0.4589601489050047,83.0,62.12
6,4,0.3761199973523617,90.0,82.57
6,5,0.2874404057860374,89.66666666666667,82.11
6,6,0.1803931620987978,94.71428571428572,88.77
6,7,0.1652476819088826,94.625,90.0
6,8,0.2228770417471726,95.66666666666669,93.15
6,9,0.2377351801842451,92.8,91.35
6,10,0.1547923626171218,95.63636363636364,92.87
7,1,2.0972371995449066,25.5,24.13
7,2,1.1912864804267884,58.66666666666666,45.17
7,3,0.6160330729825156,81.75,71.35
7,4,0.3338843593373894,88.2,81.1
7,5,0.2390136256814003,91.5,86.86
7,6,0.1814046762883663,94.14285714285714,90.83
7,7,0.1117127467519961,96.0,91.36
7,8,0.1296432238072156,95.77777777777776,91.85
7,9,0.1675918499240651,94.7,88.84
7,10,0.1653631993879874,95.45454545454544,92.86
8,1,2.036349266767502,29.5,32.4
8,2,1.1126970529556277,57.333333333333336,32.94
8,3,0.5739190919058663,81.25,69.17
8,4,0.3395627234131098,88.4,68.12
8,5,0.2351906724274158,92.83333333333331,85.08
8,6,0.203854851424694,93.71428571428572,90.67
8,7,0.1831875621126248,94.5,87.96
8,8,0.1431417944530646,95.55555555555556,92.16
8,9,0.1683054161258041,94.8,88.64
8,10,0.1526771431995762,95.9090909090909,90.03
9,1,2.051475614309311,27.5,33.61
9,2,1.065824067592621,64.0,54.54
9,3,0.6160756264414106,80.5,60.31
9,4,0.3892180733382702,87.6,75.45
9,5,0.2863986164331436,91.33333333333331,86.85
9,6,0.2295328514142469,92.0,84.69
9,7,0.1372548874754172,96.25,92.26
9,8,0.2333894334733486,94.22222222222224,89.29
9,9,0.2527402946725487,92.1,83.11
9,10,0.1781439934339788,95.0909090909091,92.73
10,1,1.901207268238068,31.5,46.23
10,2,1.0145074844360351,68.66666666666667,74.0
10,3,0.6028124860354832,81.75,78.82
10,4,0.407825268805027,85.6,82.98
10,5,0.2416151970624923,92.66666666666669,89.64
10,6,0.1838003999807617,94.28571428571428,91.91
10,7,0.1680073104798793,95.25,92.61
10,8,0.1440383260448773,95.0,92.71
10,9,0.1873036039760336,93.6,92.39
10,10,0.1242564289520184,96.0,87.85
