Run,Epoch,Train Loss,Train Accuracy,Test Accuracy
1,1,1.90397047996521,38.5,46.46
1,2,0.731856644153595,76.33333333333333,61.98
1,3,0.2891700906412942,91.25,74.39
1,4,0.1592505574226379,94.8,67.55
1,5,0.149923306889832,95.5,84.37
1,6,0.1730103425004265,94.42857142857144,81.19
1,7,0.1627907268702983,94.75,93.27
1,8,0.1599135506898164,96.44444444444444,91.57
1,9,0.1902276140172034,94.2,78.78
1,10,0.1789083058635393,93.9090909090909,89.71
2,1,1.7665069699287417,36.0,27.09
2,2,0.6960100054740905,81.0,45.15
2,3,0.3488681124789374,89.75,58.36
2,4,0.2602056367322802,92.8,80.04
2,5,0.1718654572963714,95.0,91.45
2,6,0.1158080756325613,96.42857142857144,85.27
2,7,0.1119520907791761,96.75,91.35
2,8,0.1179802923152844,96.11111111111111,89.56
2,9,0.1572410447988659,94.6,81.85
2,10,0.164302188799613,95.45454545454544,92.22
3,1,1.8266932666301727,35.5,48.24
3,2,0.6326424300670623,78.0,62.81
3,3,0.2578169724770954,91.5,76.67
3,4,0.2569160051643848,91.2,81.63
3,5,0.1690928738564253,94.0,84.72
3,6,0.1402484889734875,94.85714285714286,76.56
3,7,0.1342326650539269,95.875,89.38
3,8,0.1108807355165481,96.55555555555556,85.91
3,9,0.2171896765939891,93.0,60.71
3,10,0.1462826939920584,94.36363636363636,89.34
4,1,1.8017680644989011,38.5,31.58
4,2,0.6139181137084961,79.33333333333333,58.5
4,3,0.2459827959537506,92.0,80.35
4,4,0.2387807117775082,92.6,80.92
4,5,0.1448327859863639,94.0,86.66
4,6,0.1402819712053645,94.71428571428572,86.08
4,7,0.102224000944541,96.75,89.78
4,8,0.264475774516662,96.11111111111111,81.28
4,9,0.3072000045794993,90.3,79.19
4,10,0.1536160223186016,96.0,90.68
5,1,1.5702180564403534,37.0,37.94
5,2,0.6074351012706757,81.0,61.9
5,3,0.2982266619801521,90.5,63.49
5,4,0.2380644693039357,93.2,75.58
5,5,0.1843386016786098,94.66666666666669,84.09
5,6,0.1507672948593443,96.0,75.75
5,7,0.0930096527131704,96.625,90.42
5,8,0.1396062400192022,96.11111111111111,83.25
5,9,0.273756165523082,92.2,81.25
5,10,0.1226948517271214,96.27272727272728,92.69
6,1,1.6775399148464205,42.0,42.63
6,2,0.564724737405777,81.66666666666667,52.91
6,3,0.2747037953564099,91.5,83.89
6,4,0.2724550273269415,90.6,58.59
6,5,0.1942625619471073,93.83333333333331,84.32
6,6,0.1465295536274259,95.14285714285714,87.12
6,7,0.1570763937555826,95.25,85.53
6,8,0.154354104027152,96.44444444444444,91.4
6,9,0.2051381426863372,94.2,88.54
6,10,0.1840253575808472,94.54545454545456,79.02
7,1,1.7530740201473236,35.5,39.1
7,2,0.7386935234069825,77.0,55.22
7,3,0.3915511071681976,88.0,75.49
7,4,0.3046386335045099,90.6,78.93
7,5,0.2007106125354766,94.83333333333331,81.34
7,6,0.1152954430065371,96.28571428571428,91.37
7,7,0.0688567181619314,97.5,91.64
7,8,0.0983775272965431,97.77777777777776,88.93
7,9,0.2566912551410496,93.3,83.15
7,10,0.2362432132164637,92.45454545454544,82.04
8,1,1.6368720829486847,41.0,14.45
8,2,0.5773037016391754,83.33333333333333,49.24
8,3,0.2735653200319835,91.5,80.78
8,4,0.2470504306256771,92.8,84.02
8,5,0.1862348414957523,94.33333333333331,87.67
8,6,0.1495737071064385,95.71428571428572,86.81
8,7,0.1428151241718576,95.375,90.01
8,8,0.1560088910162448,97.33333333333331,84.15
8,9,0.2398245257791131,93.3,81.95
8,10,0.1145634964858699,96.9090909090909,85.44
9,1,1.7746740579605105,33.5,14.13
9,2,0.5579679369926452,80.66666666666667,64.81
9,3,0.2743296325206756,93.25,66.79
9,4,0.2359372312203049,93.4,74.16
9,5,0.2592812329530716,93.0,83.79
9,6,0.2083349058573896,94.42857142857144,87.62
9,7,0.1122542082403714,96.375,89.0
9,8,0.1965962496896584,96.22222222222224,77.3
9,9,0.3104353118687868,91.4,62.22
9,10,0.2280635548134645,92.9090909090909,89.78
10,1,1.9476308524608608,36.0,19.18
10,2,0.7014823794364929,78.33333333333333,44.95
10,3,0.3456463388034275,87.0,53.93
10,4,0.2220352096483111,93.2,79.46
10,5,0.1293346721678972,97.0,82.4
10,6,0.2237021089954809,93.85714285714286,81.35
10,7,0.1206873608036683,96.125,86.9
10,8,0.1010032517214616,97.33333333333331,91.12
10,9,0.2043307612184435,93.6,89.48
10,10,0.1024152766913175,96.27272727272728,90.3
