Run,Epoch,Train Loss,Train Accuracy,Test Accuracy
1,1,1.9306067526340485,32.5,29.17
1,2,0.8492405652999878,69.66666666666667,45.13
1,3,0.8805006316729954,75.0,61.17
1,4,0.6764355152845383,78.4,73.05
1,5,0.4678749442100525,83.83333333333333,86.39
1,6,0.3055360628799958,90.28571428571428,87.62
1,7,0.2446183459116862,91.625,88.18
1,8,0.2564556315541267,93.22222222222224,81.86
1,9,0.4089291547425091,87.6,83.93
1,10,0.2825544161929024,90.45454545454544,90.76
2,1,1.8818613588809967,31.0,27.35
2,2,0.9667380928993226,67.66666666666667,31.35
2,3,0.7831210834639413,76.25,62.91
2,4,0.5842689089477062,82.6,72.17
2,5,0.3562974959611892,89.83333333333333,81.97
2,6,0.3531006940386512,88.71428571428571,82.79
2,7,0.3180367717376122,89.875,83.89
2,8,0.3070859253406525,90.11111111111111,83.64
2,9,0.2824349552392959,91.1,88.18
2,10,0.2572504679361979,91.27272727272728,91.2
3,1,1.6899124383926392,38.0,23.94
3,2,1.0030359029769895,67.33333333333333,45.04
3,3,0.6037764080933162,80.25,52.07
3,4,0.4803895950317383,84.4,78.24
3,5,0.4295970231294632,85.33333333333333,79.64
3,6,0.3694622909480875,88.42857142857143,76.67
3,7,0.2773760557174682,90.375,85.71
3,8,0.2291767766078313,93.0,93.96
3,9,0.2369544520042836,92.5,92.57
3,10,0.2792666608260737,92.27272727272728,90.69
4,1,1.9298904836177824,28.0,35.84
4,2,0.8758197903633118,71.33333333333333,50.21
4,3,0.6018401597227369,80.75,65.65
4,4,0.5288765989243984,83.8,83.24
4,5,0.4108763113617897,86.83333333333333,88.88
4,6,0.3671862171454863,88.85714285714286,82.93
4,7,0.255747930934796,91.75,90.86
4,8,0.2055480256676674,93.33333333333331,82.64
4,9,0.2338741174899041,92.7,88.78
4,10,0.220325934390227,92.36363636363636,89.15
5,1,1.6169329434633255,36.5,46.62
5,2,0.9357197523117066,71.0,41.92
5,3,0.5255776856626783,81.25,65.04
5,4,0.4019187726080417,86.6,78.63
5,5,0.3607355639338493,87.66666666666667,85.51
5,6,0.2504118728366765,92.0,80.31
5,7,0.3114537212711114,90.0,88.56
5,8,0.2903841505448023,90.88888888888889,84.57
5,9,0.3316500633955002,89.5,87.58
5,10,0.2624650773488813,91.45454545454544,91.15
6,1,1.7563698589801788,33.5,27.14
6,2,0.8184142947196961,70.33333333333333,54.26
6,3,0.4957063581262316,83.75,66.29
6,4,0.4028559532016516,87.4,79.56
6,5,0.441366571187973,84.33333333333333,88.64
6,6,0.2923146201805635,91.14285714285714,84.79
6,7,0.3087380688924055,90.0,89.86
6,8,0.2614717155694961,92.0,91.37
6,9,0.3048322629183531,90.2,93.39
6,10,0.2302008164632651,93.36363636363636,93.41
7,1,1.9840535819530487,33.0,26.39
7,2,0.9686596751213074,69.0,42.79
7,3,0.6195926581110273,81.0,65.39
7,4,0.5458764471113682,79.6,65.36
7,5,0.4344671249389648,86.83333333333333,87.11
7,6,0.292097499424761,91.42857142857144,87.66
7,7,0.243964342543712,92.375,92.95
7,8,0.1902009516954422,93.88888888888889,92.31
7,9,0.171472658868879,94.2,92.61
7,10,0.2639437168836593,92.54545454545456,89.2
8,1,1.5953965485095978,30.0,43.6
8,2,0.9603597164154052,68.33333333333333,67.49
8,3,0.5982987391097205,83.25,70.76
8,4,0.5092582702636719,83.2,64.29
8,5,0.2697800621390342,89.66666666666667,80.88
8,6,0.3462021526965228,88.57142857142857,89.54
8,7,0.2290960682126191,92.25,92.81
8,8,0.2083334997296333,93.11111111111111,91.46
8,9,0.2346609642263502,92.6,93.96
8,10,0.2610150766041543,93.0,85.16
9,1,1.785266101360321,37.0,47.59
9,2,0.85002601146698,72.0,67.92
9,3,0.5159751219408852,81.5,69.42
9,4,0.5774171575903893,82.4,78.57
9,5,0.3591077759861946,88.66666666666667,88.63
9,6,0.3473786820064891,89.14285714285714,85.07
9,7,0.3073053875794777,90.625,88.82
9,8,0.2997071435054143,93.11111111111111,88.58
9,9,0.4541757497936487,87.5,85.7
9,10,0.2457466349005699,92.63636363636364,88.47
10,1,1.707544982433319,35.0,28.9
10,2,1.072051191329956,63.0,55.36
10,3,0.7361517378262111,77.75,44.44
10,4,0.6074231453239918,79.8,58.9
10,5,0.3449098601937294,90.16666666666669,73.68
10,6,0.2848883677612651,90.57142857142856,84.09
10,7,0.2473367922581159,91.875,86.47
10,8,0.2327357689539591,91.88888888888889,93.43
10,9,0.2382781449705362,93.3,92.81
10,10,0.1972424151996771,94.36363636363636,92.49
