Epoch,Train Loss Average,Train Accuracy Average,Test Accuracy Average
1,1.7872536674141883,35.85,32.402
2,0.618856165409088,81.23333333333333,59.789
3,0.3029162882694176,90.775,67.983
4,0.26621108325198295,92.12,74.042
5,0.18689706757664676,94.23333333333332,81.87100000000001
6,0.14966829820451408,95.25714285714285,84.19
7,0.11937531028301093,96.425,87.514
8,0.21524864233409363,96.62222222222223,86.17699999999999
9,0.23367069205269214,92.81,75.447
10,0.16618517298354868,95.04545454545455,86.711
