Run,Epoch,Train Loss,Train Accuracy,Test Accuracy
1,1,2.1829267144203186,21.5,14.75
1,2,1.9057031631469727,36.66666666666666,33.58
1,3,1.417180401938302,50.0,58.46
1,4,0.970772460103035,65.8,64.32
1,5,0.70127032995224,75.16666666666667,72.03
1,6,0.5436334637078372,81.42857142857143,71.41
1,7,0.4702373892068863,84.75,86.06
1,8,0.5151501357555389,86.33333333333333,85.17
1,9,0.6154955578967929,83.1,74.2
1,10,0.4393876393636067,85.45454545454545,75.23
2,1,2.327064514160156,18.5,16.65
2,2,1.9822352170944213,32.666666666666664,26.62
2,3,1.6723948206220354,48.0,45.14
2,4,1.3181497976183891,59.4,50.67
2,5,0.8722201645374298,71.16666666666667,77.4
2,6,0.6679779941385443,79.28571428571429,84.05
2,7,0.5338257528268374,82.375,89.29
2,8,0.3991342375675837,87.55555555555556,89.25
2,9,0.5124132893979549,83.2,63.26
2,10,0.4499190350373586,86.18181818181819,90.13
3,1,2.223299920558929,23.5,19.21
3,2,1.8321095705032349,37.333333333333336,25.59
3,3,1.6188092742647444,51.0,46.75
3,4,1.1784760653972626,60.8,51.41
3,5,0.87962526679039,70.66666666666667,73.03
3,6,0.6215646944262765,79.28571428571429,75.53
3,7,0.5094821498944209,84.125,86.54
3,8,0.505381824572881,83.33333333333333,82.43
3,9,0.4864967297762632,83.8,77.05
3,10,0.386209975514147,88.72727272727273,81.41
4,1,2.2233226597309117,22.5,14.47
4,2,1.9999768018722532,33.333333333333336,27.92
4,3,1.5864640814917428,44.5,23.29
4,4,1.2201262935996056,57.4,47.0
4,5,0.8589739084243775,72.33333333333333,73.82
4,6,0.7228674238378351,74.28571428571429,78.56
4,7,0.5026757235710437,82.625,84.03
4,8,0.5631578753391902,85.77777777777777,77.85
4,9,0.6073796506971121,80.7,51.58
4,10,0.4896103656954235,85.72727272727273,90.44
5,1,2.2369636595249176,19.5,13.54
5,2,1.9073161125183105,34.0,13.06
5,3,1.449969036238534,51.75,34.12
5,4,1.04050425440073,65.0,49.69
5,5,0.7517316192388535,74.33333333333333,70.42
5,6,0.6019831543618982,79.0,79.59
5,7,0.5248839236222781,83.875,86.49
5,8,0.4942180752754211,86.55555555555556,80.42
5,9,0.5872428473085165,82.1,53.96
5,10,0.4150577204094993,85.81818181818181,90.59
6,1,2.3481030464172363,19.5,18.91
6,2,2.1765104293823243,26.0,33.8
6,3,1.5267027446201868,50.75,40.96
6,4,1.158612422645092,59.6,53.1
6,5,0.7781014740467072,74.5,78.37
6,6,0.65961308370937,77.71428571428571,76.81
6,7,0.5227118868094224,81.5,69.35
6,8,0.4032554825146993,86.11111111111111,73.94
6,9,0.3971423730254173,87.1,74.48
6,10,0.4210125795669026,86.27272727272727,83.59
7,1,2.2761054635047917,24.0,20.19
7,2,1.7640148401260376,41.66666666666666,30.52
7,3,1.3573315824781145,52.5,44.08
7,4,1.0819431617856026,62.0,67.88
7,5,0.6887273490428925,75.66666666666667,71.39
7,6,0.6715619970451702,78.71428571428571,69.06
7,7,0.4673367738723755,85.5,85.83
7,8,0.4367682377497355,87.66666666666667,83.59
7,9,0.4712306819856167,85.3,79.27
7,10,0.4177965163770649,86.45454545454545,84.76
8,1,2.149257004261017,23.0,13.29
8,2,1.8261405944824216,43.0,22.46
8,3,1.3593442269733973,54.75,44.87
8,4,1.0661247819662094,62.0,60.78
8,5,0.8162382900714874,72.83333333333333,71.11
8,6,0.6743607358499006,78.57142857142857,59.68
8,7,0.5747950787727649,81.0,89.19
8,8,0.6254041691621145,83.77777777777777,88.71
8,9,0.5655389316380024,81.2,75.94
8,10,0.440012520386113,87.54545454545455,88.8
9,1,2.2948533296585083,19.0,15.21
9,2,1.9063969135284424,33.666666666666664,33.89
9,3,1.5689894812447684,43.75,56.7
9,4,1.1004901453852654,61.0,69.62
9,5,0.8007407248020172,72.16666666666667,74.39
9,6,0.6299585374918851,79.42857142857143,79.98
9,7,0.4806664494367746,83.0,76.97
9,8,0.4892928858598073,86.44444444444444,74.47
9,9,0.3909717882052064,87.1,92.01
9,10,0.3250305495328373,88.81818181818181,90.85
10,1,2.2408640384674072,20.0,20.58
10,2,1.9475903272628785,35.666666666666664,30.04
10,3,1.4801693643842424,50.5,44.31
10,4,1.040902778506279,63.0,52.88
10,5,0.7746918857097626,73.16666666666667,66.78
10,6,0.6398894434625452,80.85714285714286,73.81
10,7,0.4713939703427828,85.375,81.04
10,8,0.3615234121680259,87.55555555555556,91.53
10,9,0.4279846521094441,86.0,85.7
10,10,0.3665083853734864,88.0,87.29
