Epoch,Train Loss Average,Train Accuracy Average,Test Accuracy Average
1,1.6349917501211166,37.55,27.857
2,0.692174232006073,77.86666666666666,54.359
3,0.377092684166772,88.475,65.515
4,0.3145233009010553,90.38000000000001,76.69
5,0.2199567083455622,93.26666666666665,80.098
6,0.17373924548314373,94.55714285714285,85.946
7,0.13708792899090508,95.525,88.561
8,0.1657967847057928,96.07777777777778,88.065
9,0.21282633062219242,93.53999999999999,85.314
10,0.17659701346937148,94.85454545454544,90.64099999999999
