Run,Epoch,Train Loss,Train Accuracy,Test Accuracy
1,1,1.361502930521965,48.5,12.66
1,2,0.6451096057891845,76.33333333333333,57.4
1,3,0.3378411126988275,90.75,65.07
1,4,0.3600279260426759,87.4,75.13
1,5,0.1907329343259334,94.0,83.16
1,6,0.1298564604737541,95.42857142857144,80.44
1,7,0.1473910291321002,94.5,89.57
1,8,0.1920356246332327,96.11111111111111,89.96
1,9,0.2416334054432809,92.6,78.64
1,10,0.2131912393702401,93.45454545454544,94.08
2,1,1.5064935386180878,37.5,21.25
2,2,0.6606993794441223,78.33333333333333,55.27
2,3,0.364524279321943,89.75,63.57
2,4,0.3528620265424251,89.0,83.94
2,5,0.169322500936687,93.66666666666669,78.79
2,6,0.1654050507667389,95.42857142857144,82.78
2,7,0.0875848523126198,97.125,89.97
2,8,0.1497599752619862,97.11111111111111,79.77
2,9,0.2257325034588575,92.8,88.46
2,10,0.2299440653166837,92.9090909090909,89.62
3,1,1.6028289198875427,41.0,10.69
3,2,0.6063996076583862,83.33333333333333,28.98
3,3,0.343998202255794,89.0,57.1
3,4,0.3149023633450269,89.2,73.86
3,5,0.2756232976913452,91.83333333333331,86.95
3,6,0.1624137010763992,94.57142857142856,87.97
3,7,0.1446650761824388,96.125,92.57
3,8,0.1450512121121088,95.11111111111111,86.6
3,9,0.1190388613613322,96.2,93.63
3,10,0.1040098895836207,96.45454545454544,90.98
4,1,1.5747752636671066,35.5,16.34
4,2,0.7990432739257812,74.66666666666667,51.18
4,3,0.3600975679499762,89.75,50.14
4,4,0.3403711523860693,89.4,60.95
4,5,0.2522909313440323,92.83333333333331,73.41
4,6,0.194792862642895,93.57142857142856,79.79
4,7,0.1458932631290876,93.875,85.37
4,8,0.1709264879425366,95.0,90.38
4,9,0.2360436418093741,92.7,92.07
4,10,0.2238564623726738,93.63636363636364,89.58
5,1,1.6894889175891876,35.5,38.12
5,2,0.6151719093322754,80.33333333333333,43.02
5,3,0.3177507732595716,89.5,67.32
5,4,0.1682286700233817,94.4,85.89
5,5,0.1757883712649345,94.33333333333331,83.1
5,6,0.1438412588428367,95.28571428571428,88.91
5,7,0.1199064600066496,97.0,84.31
5,8,0.1850224981705347,94.88888888888889,87.68
5,9,0.1937728687189519,93.7,77.22
5,10,0.1490492239180538,95.8181818181818,93.0
6,1,1.7213774025440216,36.0,60.22
6,2,0.6476128995418549,77.66666666666667,71.76
6,3,0.344910312976156,88.75,76.57
6,4,0.2443458130583167,93.2,80.24
6,5,0.236539651453495,92.83333333333331,76.26
6,6,0.2644968703389168,92.57142857142856,88.07
6,7,0.1746394915076402,94.375,92.23
6,8,0.1172504633354643,96.55555555555556,93.8
6,9,0.0807476323097944,97.3,91.57
6,10,0.0886288471519947,97.54545454545456,91.44
7,1,1.863012284040451,36.5,23.63
7,2,0.6409881293773652,82.33333333333333,66.51
7,3,0.3850473016500473,87.0,72.0
7,4,0.246682696044445,92.2,78.07
7,5,0.207073025777936,93.83333333333331,85.31
7,6,0.1685520457950505,95.14285714285714,89.89
7,7,0.1240943860835754,96.0,91.43
7,8,0.1546516352643569,97.11111111111111,86.16
7,9,0.1974230201449245,94.2,82.59
7,10,0.2151631686008638,95.0,88.89
8,1,1.6632575541734695,34.5,32.04
8,2,0.7595322012901307,74.0,49.93
8,3,0.4192528426647186,87.5,72.43
8,4,0.318759698420763,91.4,83.45
8,5,0.2309249095618724,92.33333333333331,74.94
8,6,0.157326055182652,94.57142857142856,88.46
8,7,0.1453607959242967,94.625,84.37
8,8,0.1320142341777682,96.88888888888889,91.87
8,9,0.1749338139779865,94.7,87.31
8,10,0.2365326989028189,93.8181818181818,90.04
9,1,1.5433642715215683,35.5,22.17
9,2,0.7832649350166321,76.0,56.03
9,3,0.4709321217877524,86.75,80.07
9,4,0.426708485931158,86.6,70.37
9,5,0.2192126385867595,94.0,78.28
9,6,0.1807695633985779,94.42857142857144,88.8
9,7,0.1258667373599914,96.25,84.06
9,8,0.2161193825304508,96.55555555555556,89.67
9,9,0.2910288609564304,90.9,84.14
9,10,0.1754733313702874,94.36363636363636,86.99
10,1,1.823816418647766,35.0,41.45
10,2,0.7639203786849975,75.66666666666667,63.51
10,3,0.4265723271029336,86.0,50.88
10,4,0.3723441772162914,91.0,75.0
10,5,0.2420588225126266,93.0,80.78
10,6,0.1699385863136161,94.57142857142856,84.35
10,7,0.155477198270651,95.375,91.73
10,8,0.1951363336294889,95.44444444444444,84.76
10,9,0.367908698040992,90.3,77.51
10,10,0.130121208106478,95.54545454545456,91.79
