Epoch,Train Loss Average,Train Accuracy Average,Test Accuracy Average
1,2.007045954465866,27.05,26.886000000000003
2,1.2849986791610717,57.0,48.129000000000005
3,0.9287034213542938,70.325,66.482
4,0.7583720289170742,73.96000000000001,74.91
5,0.5329878258705139,82.26666666666667,84.705
6,0.4704145985570821,83.9857142857143,86.66900000000001
7,0.368379561488445,87.45,89.312
8,0.3417191128556927,90.14444444444445,89.904
9,0.37452184609137473,87.67,88.22
10,0.2960750165395439,90.5909090909091,90.651
