Run,Epoch,Train Loss,Train Accuracy,Test Accuracy
1,1,1.7257956564426422,34.5,42.16
1,2,0.8883848667144776,70.66666666666667,55.5
1,3,0.5435352580887931,80.25,73.09
1,4,0.3850340824574232,88.2,72.95
1,5,0.3071404978632926,90.83333333333331,86.2
1,6,0.2046580991961739,93.42857142857144,79.93
1,7,0.2142425540548104,93.875,90.37
1,8,0.1320327079544464,95.33333333333331,89.73
1,9,0.1217518670018762,95.9,94.12
1,10,0.1104860650763536,96.27272727272728,92.06
2,1,1.845956951379776,37.5,18.29
2,2,0.8442203283309937,73.66666666666667,40.9
2,3,0.4591761295284544,83.5,43.92
2,4,0.3267186265438795,90.0,73.78
2,5,0.2052586801350116,93.66666666666669,82.85
2,6,0.1794855620034716,94.57142857142856,88.34
2,7,0.1890197510902698,93.875,93.03
2,8,0.174096413825949,95.66666666666669,92.32
2,9,0.2724817432463169,91.0,84.44
2,10,0.2009691790574126,93.63636363636364,93.47
3,1,1.5708035826683044,38.5,24.78
3,2,0.7551560282707215,77.66666666666667,47.67
3,3,0.4010923504829407,87.75,66.1
3,4,0.4903546161949634,86.4,74.33
3,5,0.2522071346640587,92.66666666666669,79.69
3,6,0.147928546775471,96.0,89.28
3,7,0.1629103763172259,94.75,91.23
3,8,0.2010133313635985,94.22222222222224,84.65
3,9,0.254116381984204,92.2,85.53
3,10,0.1919042521880732,94.1818181818182,92.49
4,1,1.747792810201645,31.5,16.37
4,2,0.6999836683273315,76.66666666666667,53.36
4,3,0.3731994671480996,90.0,76.42
4,4,0.369873171672225,88.4,82.16
4,5,0.2480016648769378,92.83333333333331,84.54
4,6,0.2265143922784111,93.42857142857144,86.19
4,7,0.1572077062267523,94.5,90.7
4,8,0.2305821601301431,94.66666666666669,84.92
4,9,0.2323782783932984,92.2,88.45
4,10,0.147211496407787,95.54545454545456,92.56
5,1,1.5387918949127195,39.5,32.13
5,2,0.750915813446045,75.66666666666667,52.7
5,3,0.4486732227461679,85.75,71.32
5,4,0.282011030241847,90.8,78.82
5,5,0.2110987469553947,92.16666666666669,83.07
5,6,0.1741682009940797,95.0,87.47
5,7,0.1831493509503511,94.125,90.84
5,8,0.3662096537649631,95.11111111111111,88.56
5,9,0.291248663328588,90.8,78.24
5,10,0.1618031883198354,95.36363636363636,86.23
6,1,1.7924337685108185,35.5,43.82
6,2,0.828798234462738,75.33333333333333,32.96
6,3,0.4047395693404333,86.5,79.69
6,4,0.2644358314573765,91.2,84.0
6,5,0.2092427231371402,94.66666666666669,89.89
6,6,0.238461593335325,93.14285714285714,86.88
6,7,0.1491396793952355,95.0,85.73
6,8,0.1885280235360066,94.44444444444444,88.24
6,9,0.1967787945177406,93.3,76.88
6,10,0.1486053013553222,96.0,91.77
7,1,1.7346968352794647,32.5,25.61
7,2,0.8789369702339173,70.0,44.86
7,3,0.4370139219931194,87.25,81.75
7,4,0.3202851507812738,90.8,75.65
7,5,0.3299249708652496,90.66666666666669,69.73
7,6,0.2330869862979108,92.0,88.67
7,7,0.1524181045018709,95.25,89.71
7,8,0.168977756301562,94.22222222222224,93.62
7,9,0.1409447233891114,95.7,93.1
7,10,0.1049272631191545,96.45454545454544,94.7
8,1,1.6179246604442596,40.0,48.2
8,2,0.6806539297103882,81.0,56.37
8,3,0.31699409868036,87.75,69.6
8,4,0.2240081001073122,93.0,77.28
8,5,0.214479312300682,93.33333333333331,82.88
8,6,0.1752936074679548,93.57142857142856,89.3
8,7,0.1785389127639624,93.875,83.71
8,8,0.2387795758744081,95.0,87.61
8,9,0.2407358936034143,92.2,87.03
8,10,0.1570616861184438,94.63636363636364,92.69
9,1,1.8422374427318573,37.5,31.2
9,2,0.768910038471222,74.66666666666667,62.44
9,3,0.4346002978937966,85.0,66.13
9,4,0.3617534786462784,87.2,75.78
9,5,0.3302079014480114,90.66666666666669,87.96
9,6,0.2209885574199936,92.85714285714286,88.5
9,7,0.183808103776895,94.625,89.94
9,8,0.2360091341038545,95.0,90.9
9,9,0.2383478535339236,92.9,86.83
9,10,0.2046921772675382,94.1818181818182,93.57
10,1,1.610311508178711,40.0,39.1
10,2,0.7576183438301086,76.66666666666667,57.71
10,3,0.4836247542074748,82.0,63.56
10,4,0.3711942099034786,88.2,74.06
10,5,0.2811310701072216,91.0,55.79
10,6,0.249426644295454,91.57142857142856,88.93
10,7,0.177097238600254,93.375,88.91
10,8,0.1161958828568458,96.11111111111111,87.49
10,9,0.1923608586657792,94.6,88.34
10,10,0.2271678157978587,93.9090909090909,90.57
