Run,Epoch,Train Loss,Train Accuracy,Test Accuracy
1,1,1.6047694385051727,46.5,26.56
1,2,0.7368717312812805,76.66666666666667,64.46
1,3,0.2962726780346462,91.0,73.67
1,4,0.3240908905863762,90.2,73.29
1,5,0.2998314470052719,93.0,84.42
1,6,0.2125065943056887,94.0,87.89
1,7,0.1598851634905888,95.375,91.85
1,8,0.1581411475936572,95.55555555555556,82.35
1,9,0.1972694704309106,93.5,90.61
1,10,0.1305539918442567,95.72727272727272,92.32
2,1,1.5655821710824966,35.0,20.12
2,2,0.6828223824501037,79.0,55.41
2,3,0.3500183693000248,89.75,61.5
2,4,0.3291839454323053,88.6,83.46
2,5,0.2419039756059646,92.33333333333331,65.4
2,6,0.2109450223771008,94.57142857142856,86.16
2,7,0.1272005011829046,95.5,90.89
2,8,0.1128564659506082,96.55555555555556,88.49
2,9,0.0890520702814683,97.2,90.72
2,10,0.0937672715453017,97.45454545454544,77.79
3,1,1.802566766738892,38.0,28.26
3,2,0.7382837891578674,77.33333333333333,45.97
3,3,0.3428144923278263,89.75,72.19
3,4,0.2919680587947368,90.8,86.36
3,5,0.2526464447379112,92.5,82.51
3,6,0.1934952569956129,92.14285714285714,88.97
3,7,0.1939609509247999,94.25,80.04
3,8,0.129834850753347,96.33333333333331,86.14
3,9,0.104564799927175,97.1,93.33
3,10,0.1670353160136276,96.72727272727272,93.65
4,1,1.8039667308330536,39.5,24.73
4,2,0.7605807304382324,78.0,69.5
4,3,0.5034316096987043,85.0,48.4
4,4,0.2956501692533493,90.4,76.52
4,5,0.1963318161666393,93.83333333333331,88.11
4,6,0.2038531574335965,93.57142857142856,88.91
4,7,0.1634305964868802,95.75,87.67
4,8,0.1686212523529927,95.33333333333331,81.5
4,9,0.2768403403460979,91.8,82.88
4,10,0.1634092361976703,95.54545454545456,90.84
5,1,1.737733632326126,38.5,37.46
5,2,0.5791078209877014,78.66666666666667,47.45
5,3,0.2856676003762654,89.0,76.42
5,4,0.2655610684305429,91.2,86.17
5,5,0.3016581416130066,91.16666666666669,85.24
5,6,0.2291031344370408,93.42857142857144,89.57
5,7,0.1411474576363196,96.125,89.72
5,8,0.1119912403325239,96.44444444444444,93.41
5,9,0.1278775280807167,96.5,93.18
5,10,0.1331186339828289,96.0,87.46
6,1,1.7998444139957428,31.0,18.67
6,2,0.7298782587051391,80.0,58.29
6,3,0.4579829573631286,84.75,60.61
6,4,0.3169649317860603,89.6,72.48
6,5,0.2619433246552944,90.83333333333331,82.23
6,6,0.222187435423786,93.71428571428572,87.15
6,7,0.1401317881850096,95.5,92.26
6,8,0.3036040562515457,96.33333333333331,92.22
6,9,0.256544598378241,92.6,82.89
6,10,0.2229372738964027,93.54545454545456,93.73
7,1,1.5705037266016006,40.0,42.3
7,2,0.6368245780467987,79.66666666666667,68.58
7,3,0.2833612603800637,90.75,63.69
7,4,0.3159508686512708,90.6,73.0
7,5,0.1588113598525524,95.0,83.31
7,6,0.2132051580331542,93.28571428571428,80.1
7,7,0.1970250643789768,93.125,82.75
7,8,0.2502938044567903,96.33333333333331,83.01
7,9,0.332695908844471,90.0,88.53
7,10,0.201631245513757,94.72727272727272,89.64
8,1,1.459129475057125,39.5,26.23
8,2,0.5176637142896652,81.66666666666667,65.1
8,3,0.3711951076984405,88.0,76.04
8,4,0.2124585341662168,92.6,83.4
8,5,0.2043696708977222,93.33333333333331,84.69
8,6,0.1528732830827886,95.57142857142856,86.37
8,7,0.1665281131863594,94.625,91.0
8,8,0.2258261598646641,95.0,67.86
8,9,0.3524536127224564,88.7,65.13
8,10,0.1673864991300636,95.0,87.3
9,1,1.8195367455482483,34.5,36.21
9,2,0.6158709049224853,80.33333333333333,65.69
9,3,0.3587675733225686,88.75,77.34
9,4,0.2547331964597106,91.0,76.38
9,5,0.2054460778832435,93.16666666666669,83.32
9,6,0.1382915716279636,95.71428571428572,81.93
9,7,0.1517263994767115,95.5,86.59
9,8,0.1933654817442099,95.88888888888889,81.92
9,9,0.2416036312934011,92.7,72.51
9,10,0.1700232134511073,94.54545454545456,75.18
10,1,1.7303445637226105,38.0,22.99
10,2,0.698899894952774,76.33333333333333,58.3
10,3,0.3720044536249978,85.75,65.5
10,4,0.3541620932519436,90.2,76.96
10,5,0.3314547091722488,90.0,72.7
10,6,0.2689775523136962,92.57142857142856,76.04
10,7,0.1982457196483245,93.625,90.83
10,8,0.0970243639623125,97.11111111111111,92.89
10,9,0.1277788159204647,96.2,92.21
10,10,0.1217221496626734,96.0,86.13
