Epoch,Train Loss Average,Train Accuracy Average,Test Accuracy Average
1,1.6387313202023506,38.45,19.782
2,0.5111440300941468,84.13333333333334,29.999000000000002
3,0.2535166427360049,92.675,47.649
4,0.21467081103473898,93.28,70.136
5,0.17335756286978718,94.95,81.175
6,0.14528681809421287,95.58571428571429,82.693
7,0.1196501010527404,96.425,86.136
8,0.20004619493459658,96.42222222222222,82.876
9,0.2539708131662337,92.71000000000001,78.886
10,0.14618041448605554,95.9090909090909,89.04400000000001
