Run,Epoch,Train Loss,Train Accuracy,Test Accuracy
1,1,1.7674382030963898,29.0,56.23
1,2,1.094498908519745,61.0,52.78
1,3,0.7849681973457336,72.0,56.83
1,4,0.6529859900474548,76.8,74.61
1,5,0.5845239028334618,82.16666666666667,83.6
1,6,0.3717827160250057,87.85714285714286,84.23
1,7,0.3129038719030527,90.0,90.29
1,8,0.560721255838871,91.55555555555556,89.26
1,9,0.398290341719985,86.6,89.35
1,10,0.2503198753628466,92.27272727272728,93.02
2,1,2.099114269018173,27.5,43.16
2,2,1.3089519023895264,58.66666666666666,50.07
2,3,0.8789004342896598,70.5,56.16
2,4,0.7575007230043411,75.8,69.45
2,5,0.5049073845148087,84.33333333333333,85.87
2,6,0.4220756888389587,86.42857142857143,86.52
2,7,0.3509540603711055,88.625,88.57
2,8,0.2858143625160058,90.33333333333331,89.23
2,9,0.323926355689764,89.2,91.68
2,10,0.2223565586739116,92.36363636363636,92.64
3,1,2.04154434800148,26.5,19.23
3,2,1.204799222946167,59.66666666666666,48.21
3,3,0.8997924157551357,73.5,47.69
3,4,0.682879026979208,75.2,79.34
3,5,0.5344262838363647,82.83333333333333,85.48
3,6,0.4202522770925002,86.0,90.71
3,7,0.3813609813268368,87.875,88.16
3,8,0.3290611714124679,88.22222222222223,87.86
3,9,0.3065483747050166,90.5,92.33
3,10,0.2580326096051269,92.1818181818182,93.28
4,1,1.9622042775154116,33.0,37.26
4,2,1.2843170642852784,56.333333333333336,61.96
4,3,0.9500182100704738,69.0,71.37
4,4,0.7180942222476006,75.8,73.09
4,5,0.565590700507164,80.66666666666667,86.74
4,6,0.4689258635044098,83.57142857142857,74.54
4,7,0.385630455154639,88.5,89.41
4,8,0.3583248481154442,89.22222222222223,88.23
4,9,0.3993457332253456,87.3,84.31
4,10,0.2515724855992529,92.45454545454544,89.06
5,1,2.112032383680344,26.0,15.74
5,2,1.423799741268158,52.0,31.38
5,3,1.0585124577794756,63.0,59.06
5,4,0.7871323525905609,74.4,64.71
5,5,0.6361268073320389,80.66666666666667,83.03
5,6,0.5399768271229484,80.71428571428571,85.14
5,7,0.3850961465101976,87.125,88.73
5,8,0.3274762690067291,88.55555555555556,91.07
5,9,0.3157082116231322,89.5,91.61
5,10,0.2419605433113045,92.0909090909091,88.73
6,1,1.9150131344795227,30.0,18.99
6,2,1.145246171951294,61.66666666666666,41.79
6,3,0.8809419785227094,68.25,72.09
6,4,0.7648444250226021,75.2,65.9
6,5,0.4703092113137245,84.5,85.54
6,6,0.372572740370577,88.42857142857143,83.17
6,7,0.2483255370305134,90.625,90.95
6,8,0.2988548427820205,91.11111111111111,89.16
6,9,0.3019331507384777,90.9,88.74
6,10,0.2233709351470073,92.8181818181818,92.34
7,1,2.0251348316669464,29.0,28.86
7,2,1.245280349254608,63.333333333333336,65.0
7,3,0.9093887380191258,69.5,70.71
7,4,0.8255526274442673,74.0,69.16
7,5,0.6210153788328171,80.83333333333333,72.29
7,6,0.5148756910454143,83.0,85.76
7,7,0.401671446286715,87.625,92.43
7,8,0.3931007708112399,90.88888888888889,85.92
7,9,0.6707657724618912,79.3,77.82
7,10,0.4288763287994597,86.45454545454545,88.3
8,1,2.178898960351944,24.5,26.3
8,2,1.3765166044235229,53.0,44.7
8,3,1.0579354848180498,68.25,59.69
8,4,0.7602620869874954,75.4,79.77
8,5,0.6093693315982819,80.66666666666667,83.41
8,6,0.50290378250859,83.14285714285714,83.23
8,7,0.386301909501736,87.625,89.16
8,8,0.3890895793835322,87.55555555555556,80.63
8,9,0.4639058979228139,85.4,83.92
8,10,0.4053961882988612,87.54545454545455,87.4
9,1,2.0871699154376984,27.5,31.58
9,2,1.2369795322418211,57.333333333333336,47.5
9,3,0.8501942838941302,72.5,67.88
9,4,0.6910712234675884,77.0,74.42
9,5,0.5717325240373612,81.83333333333333,85.27
9,6,0.4929889982396906,84.42857142857143,89.29
9,7,0.4047458366705821,87.25,89.63
9,8,0.3765288740396499,89.33333333333333,80.52
9,9,0.5520755331963301,83.1,89.1
9,10,0.3011469344298045,89.18181818181819,93.28
10,1,1.9788547456264496,21.0,34.37
10,2,1.2091609954833984,60.0,40.36
10,3,1.0992014067513602,66.75,66.62
10,4,0.7942205220460892,73.0,72.81
10,5,0.4701771289110183,83.16666666666667,82.95
10,6,0.398938086899844,87.85714285714286,85.04
10,7,0.3168073004254928,88.625,90.65
10,8,0.3512592782576879,90.55555555555556,93.01
10,9,0.4398845611140132,86.0,85.65
10,10,0.3132570568058226,90.1818181818182,91.19
