Run,Epoch,Train Loss,Train Accuracy,Test Accuracy
1,1,2.4511656165122986,17.0,13.66
1,2,1.8971688270568847,37.0,38.38
1,3,1.5024852922984533,49.5,53.07
1,4,1.1898766905069351,60.0,53.45
1,5,0.8489546418190003,72.66666666666667,71.69
1,6,0.6419754732738842,79.28571428571429,71.91
1,7,0.6528902741578909,79.25,79.83
1,8,0.4556738416353861,84.66666666666667,79.37
1,9,0.4942851793020963,83.7,84.97
1,10,0.412886424197091,88.18181818181819,89.65
2,1,2.3694214820861816,21.0,13.77
2,2,1.992176342010498,34.333333333333336,30.07
2,3,1.6969149453299386,43.75,44.65
2,4,1.253439299762249,56.6,55.16
2,5,0.8690595984458923,71.66666666666667,71.97
2,6,0.592830007726496,80.85714285714286,78.11
2,7,0.4991868619735424,84.125,83.92
2,8,0.5617087642351787,84.22222222222223,85.14
2,9,0.7105793803930283,78.4,79.98
2,10,0.4382335287001397,87.54545454545455,86.81
3,1,2.338481605052948,17.0,12.8
3,2,2.051016092300415,35.0,28.29
3,3,1.64441340310233,41.5,25.75
3,4,1.3738456964492798,52.6,44.61
3,5,0.880191320180893,68.66666666666667,58.96
3,6,0.7193912674080242,75.42857142857143,73.76
3,7,0.5993067874358251,80.25,84.42
3,8,0.4592401097218195,85.44444444444444,73.05
3,9,0.5764973293989897,82.8,85.9
3,10,0.3587003010842535,88.0909090909091,83.96
4,1,2.2004109621047974,21.5,11.83
4,2,2.0400936603546143,33.666666666666664,33.29
4,3,1.4626460926873344,50.25,32.86
4,4,1.0635624080896378,62.8,61.12
4,5,0.8476948618888855,70.33333333333333,53.39
4,6,0.6863914592699571,78.14285714285714,85.28
4,7,0.5547621662800128,81.375,87.04
4,8,0.5820391555627187,84.77777777777777,78.0
4,9,0.5656794756650925,82.5,66.43
4,10,0.4123713709414005,86.45454545454545,85.25
5,1,2.196212649345398,18.5,12.88
5,2,1.9885719776153563,33.0,11.79
5,3,1.2944144010543823,54.0,43.74
5,4,1.1139833852648735,62.6,26.39
5,5,0.7870545744895935,72.16666666666667,52.89
5,6,0.6340167116035115,78.57142857142857,84.52
5,7,0.4664798012146583,85.75,76.0
5,8,0.4762388030687968,85.55555555555556,78.49
5,9,0.4913994986563921,85.1,87.92
5,10,0.366849132710033,88.54545454545455,85.7
6,1,2.2270233035087585,20.5,15.16
6,2,1.9951930522918704,31.0,26.82
6,3,1.6315843207495553,49.75,43.16
6,4,1.200352743268013,57.2,42.22
6,5,0.8785747826099396,68.83333333333333,68.82
6,6,0.7852174531329762,72.42857142857143,73.54
6,7,0.5788187613854041,80.25,84.22
6,8,0.5625438988208771,82.66666666666667,71.62
6,9,0.5778515934944153,81.7,73.48
6,10,0.390716564324167,88.54545454545455,77.15
7,1,2.227886199951172,19.0,21.97
7,2,2.0173527717590334,29.666666666666668,40.11
7,3,1.601895843233381,46.0,34.21
7,4,1.224492870271206,58.0,33.19
7,5,0.8785089492797852,67.33333333333333,82.36
7,6,0.5832535272294824,79.57142857142857,74.78
7,7,0.5147754412430984,83.25,74.77
7,8,0.4559554944435755,84.55555555555556,84.39
7,9,0.5188191626220942,82.5,81.87
7,10,0.3994340813822216,86.72727272727273,84.77
8,1,2.3083784580230717,18.0,17.67
8,2,1.9786491870880127,33.333333333333336,22.69
8,3,1.5332374572753906,48.25,40.51
8,4,1.2241484224796295,56.0,52.36
8,5,0.806821346282959,69.83333333333333,73.62
8,6,0.6440594358877703,79.42857142857143,73.0
8,7,0.4969524443149566,84.625,84.43
8,8,0.4369830469290415,83.55555555555556,75.64
8,9,0.4146241722628474,85.8,85.47
8,10,0.4460544188817342,85.45454545454545,85.7
9,1,2.3022144436836243,12.0,8.93
9,2,2.2321519374847414,28.666666666666668,18.93
9,3,1.77460811819349,45.5,45.57
9,4,1.4304383546113968,52.6,66.8
9,5,1.0153956592082978,65.0,71.22
9,6,0.7125262292948636,74.14285714285714,83.25
9,7,0.5068979630103478,84.75,87.84
9,8,0.4510058671236038,84.11111111111111,74.21
9,9,0.5299738422036171,83.6,87.39
9,10,0.3802864973743756,88.0909090909091,87.62
10,1,2.2673324942588806,18.5,20.56
10,2,2.1115986347198485,31.0,33.36
10,3,1.3495076298713684,52.75,45.55
10,4,1.0926217436790466,63.8,42.48
10,5,0.8459475040435791,72.5,69.71
10,6,0.7135183648629622,77.0,82.04
10,7,0.5322466790676117,83.75,83.07
10,8,0.5245988547801972,82.33333333333333,81.81
10,9,0.4403357990086078,86.5,81.82
10,10,0.4425195538335376,86.36363636363636,90.22
