Epoch,Train Loss Average,Train Accuracy Average,Test Accuracy Average
1,1.8347675681114197,33.15,28.560000000000002
2,0.8732995700836182,71.46666666666667,53.13199999999999
3,0.5343050937567437,82.4,63.863
4,0.4337303816340864,85.67999999999999,77.216
5,0.31377605415880677,90.11666666666666,83.079
6,0.27615842968225474,91.18571428571428,86.884
7,0.2311028468924073,92.35,90.061
8,0.25968687191605566,93.16666666666667,89.66799999999999
9,0.28415598589926955,91.24,86.38
10,0.2005007398056073,93.67272727272727,90.753
