Run,Epoch,Train Loss,Train Accuracy,Test Accuracy
1,1,1.7835002690553663,30.0,25.67
1,2,0.9260889291763306,68.66666666666667,57.65
1,3,0.4682451295001166,84.25,79.03
1,4,0.4225615374743938,87.8,81.66
1,5,0.2600301429629326,91.83333333333331,86.67
1,6,0.2568530196493322,92.71428571428572,92.23
1,7,0.1360176683475192,96.0,92.39
1,8,0.1359593893090883,95.44444444444444,90.34
1,9,0.2464281907305121,93.3,87.8
1,10,0.2147064989225732,94.36363636363636,89.03
2,1,2.0397472977638245,29.5,36.09
2,2,1.1328506231307984,58.66666666666666,67.85
2,3,0.689892155783517,77.5,61.38
2,4,0.5016340687870979,82.6,79.0
2,5,0.3193017095327377,88.83333333333333,83.18
2,6,0.2156502387740395,93.0,86.78
2,7,0.1542227199444404,95.0,91.58
2,8,0.2734326690435409,94.44444444444444,92.02
2,9,0.2142048911191523,92.7,89.49
2,10,0.1377420133600632,96.0909090909091,94.24
3,1,1.9500373601913448,28.0,49.21
3,2,0.9736658334732056,66.0,48.05
3,3,0.5241909325122833,82.5,79.15
3,4,0.4234498105943203,87.2,73.77
3,5,0.2561057537794113,92.33333333333331,89.72
3,6,0.210271303626624,92.28571428571428,90.44
3,7,0.1507942765378035,95.625,87.66
3,8,0.3346239104866981,93.77777777777776,85.96
3,9,0.2927604569122195,90.6,90.47
3,10,0.2242207647197776,93.54545454545456,93.1
4,1,1.821565717458725,38.0,25.87
4,2,1.0032294869422913,68.33333333333333,51.38
4,3,0.5205128278051104,82.5,71.35
4,4,0.4625436291098594,85.0,80.0
4,5,0.2933994054794311,90.83333333333331,87.11
4,6,0.2235956205563112,93.71428571428572,87.8
4,7,0.2125470254283685,93.125,90.34
4,8,0.3581051571915547,94.0,91.73
4,9,0.2562784673646092,92.3,67.31
4,10,0.3130642904175652,92.0909090909091,90.55
5,1,2.0636715590953827,28.0,30.61
5,2,1.0774033904075622,62.333333333333336,39.0
5,3,0.5199484058788845,84.0,62.61
5,4,0.3825763091444969,86.2,79.16
5,5,0.2860721126198768,91.0,83.95
5,6,0.280502893707969,90.71428571428572,87.82
5,7,0.1544798242931182,95.0,91.28
5,8,0.1262657875816027,96.11111111111111,90.42
5,9,0.2207221444696188,92.7,88.88
5,10,0.206817542306251,94.27272727272728,92.73
6,1,1.9375618696212769,26.0,18.23
6,2,0.9768940925598144,68.0,64.87
6,3,0.5083311029842922,84.5,78.94
6,4,0.3589226547628641,88.2,84.5
6,5,0.3443497858941555,88.83333333333333,84.42
6,6,0.2802767062729055,91.57142857142856,86.5
6,7,0.2229907747644644,92.75,89.46
6,8,0.1767991531640291,93.44444444444444,89.69
6,9,0.1467077662236988,95.6,91.84
6,10,0.1464488421463304,95.36363636363636,94.75
7,1,1.6957780420780182,36.0,41.97
7,2,0.8909888386726379,70.33333333333333,58.14
7,3,0.5556058159896305,81.25,72.22
7,4,0.3858547303825617,86.2,70.7
7,5,0.249220559746027,91.33333333333331,83.5
7,6,0.1835264109752395,93.71428571428572,86.14
7,7,0.2008168628582587,94.0,92.18
7,8,0.1789130585889021,93.44444444444444,91.42
7,9,0.1263751157093793,96.3,89.88
7,10,0.1346980741557975,95.27272727272728,93.01
8,1,2.058711916208267,27.5,21.84
8,2,1.0653108477592468,64.33333333333333,42.95
8,3,0.5094039482729775,80.75,60.41
8,4,0.4161565937101841,85.2,82.14
8,5,0.2490197248756885,92.33333333333331,86.71
8,6,0.2845089990984309,90.14285714285714,88.44
8,7,0.1812064378307415,93.25,91.12
8,8,0.1493651541570822,95.55555555555556,88.37
8,9,0.1465750408824533,95.6,93.73
8,10,0.1350599852287107,96.63636363636364,89.21
9,1,1.8836524486541748,33.0,38.81
9,2,0.9733049631118774,66.33333333333333,63.29
9,3,0.4828078831945147,81.75,77.36
9,4,0.2585201319307089,91.0,81.85
9,5,0.3183440774679184,90.0,83.01
9,6,0.2549271942539649,92.14285714285714,84.98
9,7,0.2274158304700484,93.5,89.72
9,8,0.2392382855216662,94.11111111111111,89.8
9,9,0.2459920414257794,92.3,89.31
9,10,0.1497306366347604,95.36363636363636,88.75
10,1,2.0626775920391083,23.0,44.5
10,2,0.9571996569633484,64.66666666666667,57.69
10,3,0.4480217014040266,84.25,74.69
10,4,0.4305696412920952,86.2,80.65
10,5,0.3080984994769096,91.16666666666669,82.56
10,6,0.2316202304579994,92.71428571428572,84.18
10,7,0.1705335413034145,93.375,88.43
10,8,0.1759779521574576,93.88888888888889,88.38
10,9,0.2437474834732711,92.2,88.25
10,10,0.1942439948519071,93.9090909090909,93.73
