Epoch,Train Loss Average,Train Accuracy Average,Test Accuracy Average
1,2.1216727763414385,24.35,26.686
2,1.2437445640563964,58.1,50.408
3,0.6989189880234854,76.925,70.75
4,0.49088844172656537,84.4,79.78999999999999
5,0.31516912423074245,90.16666666666667,87.414
6,0.23916575756262642,92.22857142857143,89.124
7,0.19211796867446254,93.8625,89.534
8,0.2128938183436791,94.61111111111111,90.667
9,0.2308566178195178,93.03999999999999,88.60900000000001
10,0.1631295514396495,94.83636363636364,91.24300000000001
