Run,Epoch,Train Loss,Train Accuracy,Test Accuracy
1,1,1.6705386340618134,35.0,33.14
1,2,0.6965925216674804,81.0,59.79
1,3,0.6036665524755206,86.75,75.72
1,4,0.4206434339284897,86.0,73.16
1,5,0.2419556114822626,92.33333333333331,87.03
1,6,0.2414329675110903,92.42857142857144,85.52
1,7,0.1376953643675033,95.75,92.76
1,8,0.1569319824377695,95.0,91.99
1,9,0.1697399424156174,95.5,88.51
1,10,0.1746701302213801,94.27272727272728,93.43
2,1,1.9333017468452451,30.5,39.77
2,2,0.7100057363510132,77.33333333333333,63.74
2,3,0.3995746459279741,87.0,69.87
2,4,0.2644305117428303,91.0,86.3
2,5,0.1793550610542297,93.83333333333331,82.14
2,6,0.2460223653099753,92.71428571428572,88.35
2,7,0.1884128471406606,95.0,90.87
2,8,0.1934606209397316,95.77777777777776,88.37
2,9,0.2038701754063367,93.9,90.12
2,10,0.183650530460808,95.27272727272728,93.08
3,1,1.7276293337345123,40.5,32.44
3,2,0.7778795599937439,73.33333333333333,61.93
3,3,0.3814787992409297,88.5,70.2
3,4,0.3216748051345348,90.4,79.27
3,5,0.2031255841255188,93.0,90.51
3,6,0.2566977129741148,92.42857142857144,88.03
3,7,0.1297903682750005,94.875,92.39
3,8,0.2735660756627718,96.55555555555556,91.9
3,9,0.3072327608242631,90.7,94.2
3,10,0.2114787412186463,94.36363636363636,86.23
4,1,1.7745510190725329,32.0,26.02
4,2,0.932215702533722,70.0,56.46
4,3,0.5035183514867511,83.25,70.94
4,4,0.4191084373742342,86.2,65.34
4,5,0.3017213761806488,91.16666666666669,80.52
4,6,0.154266344891353,94.71428571428572,86.73
4,7,0.1302725088137846,95.5,88.78
4,8,0.1691278304904699,95.22222222222224,90.65
4,9,0.2216482553631067,93.0,88.75
4,10,0.2397940632783704,92.1818181818182,91.85
5,1,1.7125888019800186,39.0,18.78
5,2,0.6633331060409546,78.0,29.43
5,3,0.3636044817311423,88.0,64.95
5,4,0.354666743427515,89.2,84.41
5,5,0.187931415811181,94.33333333333331,81.9
5,6,0.1577514799481088,95.85714285714286,84.8
5,7,0.1538119605527474,95.375,89.6
5,8,0.1180394865572452,96.33333333333331,92.02
5,9,0.193277103244327,94.0,92.47
5,10,0.1684764021386703,95.0909090909091,93.09
6,1,1.5841090381145475,41.0,34.61
6,2,0.6713649511337281,80.0,61.73
6,3,0.5238924835409436,87.25,70.41
6,4,0.3010049015283584,90.6,72.95
6,5,0.2775113105773926,92.0,88.75
6,6,0.2262909629128196,93.28571428571428,79.66
6,7,0.1570008084751092,95.5,85.9
6,8,0.2186236136903365,94.33333333333331,88.95
6,9,0.1781822810880839,93.8,88.09
6,10,0.1076096701953146,97.0,94.44
7,1,1.724950134754181,36.0,29.57
7,2,0.801819670200348,73.0,62.96
7,3,0.3713765825544085,85.0,77.75
7,4,0.2802743818610906,90.8,80.22
7,5,0.2356509417295456,92.83333333333331,74.9
7,6,0.2241554761474782,92.0,85.29
7,7,0.1727288548762981,94.0,90.68
7,8,0.2378246021767457,95.44444444444444,87.32
7,9,0.4023827537894249,88.4,69.04
7,10,0.1802560146898031,93.63636363636364,90.36
8,1,1.7286779284477234,36.0,43.3
8,2,0.7592917084693909,75.0,60.73
8,3,0.3552121136869703,86.25,71.55
8,4,0.2934090830385685,90.6,82.16
8,5,0.2339274331927299,93.5,89.0
8,6,0.2517794838005846,93.0,91.49
8,7,0.1705088045161504,94.25,90.54
8,8,0.17315755362312,95.88888888888889,87.9
8,9,0.258404990658164,91.6,85.77
8,10,0.2019811037720905,94.1818181818182,83.85
9,1,1.9217605292797089,32.5,23.9
9,2,0.7952984929084778,72.33333333333333,60.52
9,3,0.4289291203022003,87.0,69.95
9,4,0.4229034893214702,88.2,76.85
9,5,0.2964748114347458,91.33333333333331,83.77
9,6,0.225127368488095,93.71428571428572,81.27
9,7,0.1489074803315676,95.625,90.14
9,8,0.0865501441061496,97.77777777777776,86.66
9,9,0.161914452095516,95.2,84.39
9,10,0.1341243397651447,96.27272727272728,92.06
10,1,1.7309914529323578,40.0,29.22
10,2,0.7373647928237915,75.66666666666667,62.11
10,3,0.3907053789922169,86.0,50.88
10,4,0.3471929058432579,88.2,72.13
10,5,0.157377303391695,95.16666666666669,89.45
10,6,0.173845137046142,95.57142857142856,90.62
10,7,0.1486029705175986,95.125,89.84
10,8,0.3219018881519636,92.77777777777776,88.69
10,9,0.2909418642520904,91.8,87.27
10,10,0.1841689869761467,94.1818181818182,89.97
