Epoch,Train Loss Average,Train Accuracy Average,Test Accuracy Average
1,1.7305991411209107,36.1,27.852999999999998
2,0.7602191561460494,74.4,59.842
3,0.3917362689971923,88.0,70.099
4,0.3184673632495105,90.14,75.331
5,0.23216815333813426,92.43333333333334,82.66900000000001
6,0.19734127091413192,93.75714285714285,85.905
7,0.16576616570640065,94.7875,86.295
8,0.23362500721899168,95.58888888888889,87.934
9,0.24175574098189823,92.63,84.24199999999999
10,0.1873993072037895,94.84545454545454,90.40599999999999
